seed,score,lost
9600000,9,False
9600001,13,False
9600002,12,False
9600003,12,False
9600004,11,False
9600005,10,False
9600006,12,False
9600007,10,False
9600008,14,False
9600009,10,False
9600010,6,False
9600011,12,False
9600012,12,False
9600013,12,False
9600014,12,False
9600015,14,False
9600016,14,False
9600017,10,False
9600018,12,False
9600019,11,False
9600020,12,False
9600021,11,False
9600022,13,False
9600023,8,False
9600024,12,False
9600025,10,False
9600026,12,False
9600027,14,False
9600028,12,False
9600029,11,False
9600030,13,False
9600031,11,False
9600032,14,False
9600033,12,False
9600034,12,False
9600035,13,False
9600036,13,False
9600037,12,False
9600038,10,False
9600039,12,False
9600040,9,False
9600041,13,False
9600042,10,False
9600043,14,False
9600044,11,False
9600045,13,False
9600046,12,False
9600047,14,False
9600048,14,False
9600049,12,False
9600050,10,False
9600051,16,False
9600052,9,False
9600053,13,False
9600054,14,False
9600055,9,False
9600056,11,False
9600057,11,False
9600058,14,False
9600059,14,False
9600060,10,False
9600061,16,False
9600062,14,False
9600063,12,False
9600064,12,False
9600065,10,False
9600066,16,False
9600067,14,False
9600068,13,False
9600069,10,False
9600070,13,False
9600071,9,False
9600072,11,False
9600073,10,False
9600074,13,False
9600075,16,False
9600076,14,False
9600077,10,False
9600078,10,False
9600079,14,False
9600080,12,False
9600081,12,False
9600082,12,False
9600083,12,False
9600084,10,False
9600085,14,False
9600086,14,False
9600087,14,False
9600088,12,False
9600089,9,False
9600090,14,False
9600091,10,False
9600092,11,False
9600093,10,False
9600094,16,False
9600095,10,False
9600096,13,False
9600097,11,False
9600098,12,False
9600099,12,False
9600100,13,False
9600101,9,False
9600102,14,False
9600103,12,False
9600104,13,False
9600105,13,False
9600106,11,False
9600107,10,False
9600108,12,False
9600109,14,False
9600110,14,False
9600111,15,False
9600112,14,False
9600113,14,False
9600114,10,False
9600115,12,False
9600116,12,False
9600117,16,False
9600118,12,False
9600119,12,False
9600120,16,False
9600121,13,False
9600122,11,False
9600123,10,False
9600124,12,False
9600125,12,False
9600126,14,False
9600127,12,False
9600128,10,False
9600129,11,False
9600130,12,False
9600131,13,False
9600132,10,False
9600133,11,False
9600134,14,False
9600135,14,False
9600136,14,False
9600137,12,False
9600138,16,False
9600139,14,False
9600140,12,False
9600141,16,False
9600142,15,False
9600143,14,False
9600144,14,False
9600145,12,False
9600146,9,False
9600147,12,False
9600148,13,False
9600149,12,False
9600150,12,False
9600151,14,False
9600152,12,False
9600153,12,False
9600154,10,False
9600155,14,False
9600156,12,False
9600157,15,False
9600158,14,False
9600159,12,False
9600160,13,False
9600161,12,False
9600162,14,False
9600163,11,False
9600164,12,False
9600165,10,False
