Campaign_ID,Campaign_Series,Stage,Role,Target_Score,Flavor_Front,Special_Rule_Text,Mutator_Code,Success_Flavor,Success_Next_ID,Fail_Flavor,Fail_Next_ID
Rise_I_Emperor,罗马崛起,I,皇帝,13,身为年轻的罗马皇帝并非易事。你肩负着万千子民的期望。必须证明自己配得上这份重任。,无特殊规则。,None,开端是极端微妙的时刻。您已展现出审慎与智慧。您为罗马的伟大而奋斗。,Rise_II_Emperor,已有声音质疑您的血统。建议制止这些诽谤。,Rise_II_Dictator
Rise_II_Emperor,罗马崛起,II,皇帝,15,"贵族们要求新的浴场、新的街道、新的花园雕像。实难满足他们所有奢求。","当你建造建筑时，可花费2工业在此卡放置1个立方体。每立方体获得1荣耀点。",Token_Build_Ind2_GP1,"普通人苛责他人。但卓越者严于律己。望你莫被权力蒙蔽双眼。",Rise_III_Emperor,"元老院贵族们怒不可遏之际，一些议员便贸然提出，相当天真地新的政体模式。",Rise_III_Dictator
Rise_II_Dictator,罗马崛起,II,独裁者,15,你四处寻求贸易并开征新税，试图化解危机。然而叛乱之声仍不绝于耳。,游戏开始时，每种资源各额外获得1点。,Start_Res_1_1_1,平民的努力终得回报。每个听闻你功绩的公民，皆感同身受罗马的荣光。,Rise_III_Emperor,当暴徒充斥街头，你适时展现谦逊。此般机巧手段，终避免一场腥风血雨。,Rise_III_Consul
Rise_III_Emperor,罗马崛起,III,皇帝,17,"使者急报：邻国因妒忌而密谋对抗罗马。边境驻军已严阵以待。","每次支付军事资源击退入侵可获得1荣耀点。若全部击退，则额外获得1点。",On_Invasion_Pay_Mil_GP1_All_Bonus1,"古语云，欲求和平，必先备战。诚然，你深谙如何通过战争为罗马赢得和平。平民心怀感激。",Rise_IV_Emperor,"帝国虽得保全，然非所有人皆愿付出此等代价。你被迫宣布军事紧急状态以维系统治。",Rise_IV_Dictator
Rise_III_Dictator,罗马崛起,III,独裁者,17,肩负之责重若千钧，然你并非独行。先人的建筑、历史与文化与你同在。,游戏开始时，已有一座自选奇观完工。,Start_Free_Monument,您以辉煌的方式继承先辈成就，光耀其名。此刻正是东山再起之时。,Rise_IV_Emperor,将军与元老们面色阴沉，敌意渐增。当需慎行。,Rise_IV_Consul
Rise_III_Consul,罗马崛起,III,执政官,17,"局势持续恶化。元老院决议没收贵族财物以维持民生，却引发全城新一轮暴乱。","游戏开始时矿井已建成。",PreBuilt_Mine,"这些不正当的征用至少让你得以养活平民，并保证了街道和边境附近的安全。你很幸运。",Rise_IV_Dictator,"“谁从中获益？”当公民聚集在你的宫殿前时，你该如何回应？民众似乎认为你有责任。",Rise_IV_Consul
Rise_IV_Emperor,罗马崛起,IV,皇帝,19,"天象昭示你将成为罗马史上最伟大的皇帝。此刻正是建立不朽功业之时。","游戏开始前，可自行调整牌组顺序。",GodMode_CustomDeck,"你所经历的考验，如同赫拉克勒斯的十二项伟业般艰巨。然如神话英雄般，你终将其征服。如今你的名字闪耀于天穹。",End_Campaign,"历史将铭记你为史上最伟大的征服者之一。后世将世代传颂你的丰功伟绩。",End_Campaign
Rise_IV_Dictator,罗马崛起,IV,独裁者,19,命运将你推向抉择的十字路口：一侧是共和国的未来，另一侧则是成为文明世界至高领袖的宏图霸业。,每座已完成的奇观终局时可额外获得2荣耀点。,Endgame_CompletedMonument_GP2,尽管时有疑虑，你仍设法保住了权力。统治后期的数十年间，罗马享受和平。历史将铭记你为睿智公正的领袖。,Rise_V_Dictator,在你任内，罗马帝国让位于新的共和国。它更具雄心，更富希望。虽未受指责，然退位之时已至。,Ending_Republic
Rise_IV_Consul,罗马崛起,IV,执政官,19,"敌军兵临城下。罗马——抵御野蛮的最后堡垒，必须不惜代价继续作为文明世界的光芒。","每控制一个区域终局时获得2荣耀点（原为1点）。若失去任一区域则游戏失败。","Score_Region_2|Fatal_Lose_Any_Region","伟大意志方显于悬崖之缘。当众人皆陷绝望，唯你能昂首专注要务。罗马得救了。",End_Success,"文明无永恒。纵大理石亦随时间破碎。罗马曾主宰世界，然历史车轮滚滚向前。你已被遗忘。",End_Fail
Fall_I_Crisis,罗马陷落,I,危机,16,夸迪人、汪达尔人、萨尔马提亚人、格皮德人、阿勒曼尼人、勃艮第人、阿兰人、潘诺尼亚人，诸族皆在犯我疆界。,初始选择3个地区控制。每次蛮族入侵需应对两次。斗兽场仅能抵消其中一次入侵。,Start_Regions_3;Double_Invasions;Colosseum_Nerf_1,诸多邻国觊觎我们的财富。而公民们却对危险浑然不觉，只知享乐。,Fall_II_Bread_and_Circuses,蛮族无休止的袭击迫使我们不断支付雇佣军费用。经济已濒临崩溃。,Fall_II_Inflation
Fall_II_BreadCircus,罗马陷落,II,面包与马戏,14,平民要求举办新的马戏表演。若置之不理叛乱风险必将加剧。,当你打出斗兽场卡时，可选择不建造该奇观，改为支付3点资源在此卡放置1个立方体。若此卡无立方体：-2荣耀点，若至少有2个立方体：+2荣耀点。,Action_ColosseumToToken_Cost3Any|Score_BreadCircusTokens,你举办了帝国史上最盛大的表演。当民众欢庆之时，蛮族各部却已联合来犯。,Fall_III_SackOfRome,马戏表演不仅令民众失望，更掏空了国库。失业蔓延，债台高筑。,Fall_III_EconomicDepression
Fall_II_Inflation,罗马陷落,II,通货膨胀,14,物价飞涨。全城工匠索要更多钱财，若不满足，恐将倒戈相向。,每次蛮族入侵前，须为每座已建建筑支付2点自选资源。若无法支付则失败。斗兽场无法抵消此效果。,PreInvasion_Pay_Any2_Per_Building_NoColosseum,你成功化解危机。然当你忙于内政之时，蛮族各部联合突袭罗马。,Fall_III_SackRome,通胀失控。民众与将领皆欲取你性命。万事皆休。,Game_Over
