Card_ID,Card_Name,Card_Class,Top_Culture,Top_Military,Top_Industry,Bottom_ActionType,Bottom_TargetResource,Cost_Culture,Cost_Military,Cost_Industry,Ref_Building_ID,Ref_Monument_ID,On_BottomAction_Success_MoveTo,Notes
C01,凯旋雕塑,Building,1,1,1,Build_Building,,1,0,2,B_KaiXuanDiaoSu,,BuiltArea_RemoveFromDeck,"建成后持续生效；+2GP"
C02,帝国引水道,Building,1,1,1,Build_Building,,1,0,2,B_DiGuoYinShuiDao,,BuiltArea_RemoveFromDeck,"建成后持续生效；+2GP"
C03,军团要塞,Building,1,2,0,Build_Building,,0,1,2,B_JunTuanYaoSai,,BuiltArea_RemoveFromDeck,"每回合首次获得军事时+2军事"
C04,帝国金矿,Building,0,0,3,Build_Building,,0,0,3,B_DiGuoJinKuang,,BuiltArea_RemoveFromDeck,"每回合首次获得工业时+2工业"
C05,圆形竞技场,Building,2,0,1,Build_Building,,1,0,2,B_YuanXingJingJiChang,,BuiltArea_RemoveFromDeck,"每回合首次获得文化时+2文化"
C06,军团征服敕令1,Action,0,0,2,Conquest,,0,0,0,,,Discard,"征服：支付=已占领地区数的军事；占领新地区并立刻获得该地区资源(文化或工业)"
C07,军团征服敕令2,Action,1,0,1,Conquest,,0,0,0,,,Discard,"同上"
C08,行省贡赋征召令1,Action,0,0,2,Tribute,Culture,0,0,0,,,Discard,"征收：获得=已占领地区数的目标资源(本牌为文化)"
C09,行省贡赋征召令2,Action,1,0,1,Tribute,Industry,0,0,0,,,Discard,"征收：获得=已占领地区数的目标资源(本牌为工业)"
C10,万神庙1,Monument,1,0,1,Build_Monument,,3,0,0,,M_WanShenMiao,Discard,"纪念物施工"
C11,万神庙2,Monument,2,0,0,Build_Monument,,2,0,1,,M_WanShenMiao,Discard,"纪念物施工"
C12,罗马斗兽场1,Monument,0,1,1,Build_Monument,,3,0,0,,M_LuoMaDouShouChang,Discard,"纪念物施工"
C13,罗马斗兽场2,Monument,0,2,0,Build_Monument,,0,1,2,,M_LuoMaDouShouChang,Discard,"纪念物施工"
C14,帝国广场1,Monument,1,0,1,Build_Monument,,3,0,0,,M_DiGuoGuangChang,Discard,"纪念物施工"
C15,帝国广场2,Monument,2,0,0,Build_Monument,,0,0,3,,M_DiGuoGuangChang,Discard,"纪念物施工"
C16,哈德良陵寝1,Monument,0,0,2,Build_Monument,,0,1,2,,M_HaDeLiangLingQin,Discard,"纪念物施工"
C17,哈德良陵寝2,Monument,0,1,1,Build_Monument,,3,0,0,,M_HaDeLiangLingQin,Discard,"纪念物施工"
C18,凯旋门1,Monument,1,1,0,Build_Monument,,3,0,0,,M_KaiXuanMen,Discard,"纪念物施工"
C19,凯旋门2,Monument,0,2,0,Build_Monument,,0,1,2,,M_KaiXuanMen,Discard,"纪念物施工"
C20,图拉真市场1,Monument,0,0,2,Build_Monument,,1,0,2,,M_TuLaZhenShiChang,Discard,"纪念物施工"
C21,图拉真市场2,Monument,0,1,1,Build_Monument,,3,0,0,,M_TuLaZhenShiChang,Discard,"纪念物施工"
