seed,score,turns,turn_complete_arc,turn_complete_senate,conquest_before_inv1,pre_inv1_culture,pre_inv1_military,pre_inv1_industry,pre_inv1_regions,final_regions,final_built_count,final_completed_monuments,file
2001430,16,21,19,10,1,5,1,0,2,5,3,2,case_score16_seed2001430.json
2002237,16,21,19,9,1,1,1,1,2,5,3,2,case_score16_seed2002237.json
2002968,16,21,8,10,1,6,0,0,2,5,4,2,case_score16_seed2002968.json
2003069,16,21,18,7,1,5,0,0,2,5,3,2,case_score16_seed2003069.json
2003310,16,21,19,8,1,5,3,1,1,5,4,2,case_score16_seed2003310.json
2003662,16,21,20,13,1,3,1,1,2,5,3,2,case_score16_seed2003662.json
2004978,16,21,15,12,1,2,2,2,1,5,3,2,case_score16_seed2004978.json
2005038,16,21,16,19,2,1,7,1,2,5,4,2,case_score16_seed2005038.json
2006039,16,21,20,13,2,1,2,4,3,5,3,2,case_score16_seed2006039.json
2006709,16,21,20,13,1,3,3,1,2,6,2,2,case_score16_seed2006709.json
2008065,16,21,17,11,1,5,2,0,2,5,3,2,case_score16_seed2008065.json
2008671,16,21,18,11,1,9,3,1,2,5,3,2,case_score16_seed2008671.json
