seed,score,lost
2000000,7,False
2000001,8,False
2000002,6,False
2000003,9,False
2000004,8,False
2000005,14,False
2000006,6,False
2000007,8,False
2000008,0,True
2000009,10,False
2000010,0,True
2000011,10,False
2000012,12,False
2000013,0,True
2000014,7,False
2000015,10,False
2000016,6,False
2000017,10,False
2000018,12,False
2000019,8,False
2000020,10,False
2000021,8,False
2000022,7,False
2000023,10,False
2000024,8,False
2000025,12,False
2000026,10,False
2000027,0,True
2000028,10,False
2000029,12,False
2000030,0,True
2000031,8,False
2000032,8,False
2000033,6,False
2000034,0,True
2000035,8,False
2000036,0,True
2000037,8,False
2000038,10,False
2000039,10,False
2000040,6,False
2000041,7,False
2000042,8,False
2000043,0,True
2000044,8,False
2000045,0,True
2000046,6,False
2000047,10,False
2000048,0,True
2000049,8,False
2000050,6,False
2000051,8,False
2000052,8,False
2000053,0,True
2000054,8,False
2000055,12,False
2000056,10,False
2000057,14,False
2000058,8,False
2000059,12,False
2000060,10,False
2000061,0,True
2000062,12,False
2000063,12,False
2000064,10,False
2000065,0,True
2000066,8,False
2000067,8,False
2000068,0,True
2000069,12,False
2000070,12,False
2000071,12,False
2000072,8,False
2000073,8,False
2000074,12,False
2000075,8,False
2000076,0,True
2000077,12,False
2000078,6,False
2000079,6,False
2000080,12,False
2000081,12,False
2000082,6,False
2000083,12,False
2000084,0,True
2000085,8,False
2000086,10,False
2000087,10,False
2000088,8,False
2000089,8,False
2000090,12,False
2000091,8,False
2000092,8,False
2000093,0,True
2000094,12,False
2000095,0,True
2000096,10,False
2000097,0,True
2000098,0,True
2000099,8,False
2000100,8,False
2000101,10,False
2000102,0,True
2000103,8,False
2000104,0,True
2000105,10,False
2000106,8,False
2000107,0,True
2000108,0,True
2000109,12,False
2000110,0,True
2000111,0,True
2000112,6,False
2000113,10,False
2000114,14,False
2000115,7,False
2000116,8,False
2000117,0,True
2000118,10,False
2000119,8,False
2000120,0,True
2000121,12,False
2000122,8,False
2000123,8,False
2000124,6,False
2000125,0,True
2000126,8,False
2000127,6,False
2000128,12,False
2000129,8,False
2000130,12,False
2000131,10,False
2000132,8,False
2000133,8,False
2000134,0,True
2000135,6,False
2000136,8,False
2000137,0,True
2000138,7,False
2000139,7,False
2000140,10,False
2000141,0,True
2000142,6,False
2000143,0,True
2000144,6,False
2000145,10,False
2000146,8,False
2000147,10,False
2000148,8,False
2000149,0,True
2000150,10,False
2000151,7,False
2000152,6,False
2000153,8,False
2000154,10,False
2000155,8,False
2000156,0,True
2000157,0,True
2000158,0,True
2000159,6,False
2000160,0,True
2000161,8,False
2000162,0,True
2000163,10,False
2000164,6,False
2000165,12,False
2000166,0,True
2000167,12,False
2000168,0,True
2000169,0,True
2000170,0,True
2000171,10,False
2000172,12,False
2000173,12,False
2000174,0,True
2000175,8,False
2000176,0,True
2000177,10,False
2000178,10,False
2000179,10,False
2000180,0,True
2000181,12,False
2000182,0,True
2000183,6,False
2000184,0,True
2000185,0,True
2000186,0,True
2000187,12,False
2000188,10,False
2000189,12,False
2000190,12,False
2000191,6,False
2000192,6,False
2000193,10,False
2000194,12,False
2000195,6,False
2000196,10,False
2000197,0,True
2000198,10,False
2000199,7,False
2000200,8,False
2000201,8,False
2000202,7,False
2000203,8,False
2000204,9,False
2000205,8,False
2000206,7,False
2000207,12,False
2000208,10,False
2000209,10,False
2000210,0,True
2000211,12,False
2000212,0,True
2000213,6,False
2000214,12,False
2000215,7,False
2000216,6,False
2000217,5,False
2000218,10,False
2000219,12,False
2000220,8,False
2000221,0,True
2000222,7,False
2000223,10,False
2000224,12,False
2000225,8,False
2000226,10,False
2000227,8,False
2000228,12,False
2000229,12,False
2000230,6,False
2000231,10,False
2000232,4,False
2000233,0,True
2000234,12,False
2000235,10,False
2000236,8,False
2000237,6,False
2000238,0,True
2000239,6,False
2000240,0,True
2000241,8,False
2000242,0,True
2000243,10,False
2000244,8,False
2000245,6,False
2000246,8,False
2000247,8,False
2000248,8,False
2000249,8,False
2000250,14,False
2000251,6,False
2000252,8,False
2000253,6,False
2000254,9,False
2000255,0,True
2000256,9,False
2000257,9,False
2000258,8,False
2000259,8,False
2000260,0,True
2000261,9,False
2000262,8,False
2000263,8,False
2000264,8,False
2000265,8,False
2000266,10,False
2000267,6,False
2000268,10,False
2000269,10,False
2000270,0,True
2000271,6,False
2000272,6,False
2000273,0,True
2000274,0,True
2000275,0,True
2000276,10,False
2000277,6,False
2000278,10,False
2000279,9,False
2000280,8,False
2000281,10,False
2000282,0,True
2000283,0,True
2000284,0,True
2000285,0,True
2000286,0,True
2000287,10,False
2000288,8,False
2000289,10,False
2000290,0,True
2000291,0,True
2000292,0,True
2000293,0,True
2000294,12,False
2000295,12,False
2000296,12,False
2000297,8,False
2000298,10,False
2000299,10,False
2000300,0,True
2000301,8,False
2000302,8,False
2000303,10,False
2000304,10,False
2000305,8,False
2000306,10,False
2000307,4,False
2000308,0,True
2000309,0,True
2000310,8,False
2000311,0,True
2000312,10,False
2000313,6,False
2000314,12,False
2000315,6,False
2000316,12,False
2000317,10,False
2000318,4,False
2000319,9,False
2000320,0,True
2000321,0,True
2000322,10,False
2000323,10,False
2000324,10,False
2000325,0,True
2000326,10,False
2000327,0,True
2000328,0,True
2000329,0,True
2000330,10,False
2000331,8,False
2000332,0,True
2000333,0,True
2000334,12,False
2000335,7,False
2000336,6,False
2000337,8,False
2000338,12,False
2000339,0,True
2000340,10,False
2000341,0,True
2000342,10,False
2000343,6,False
2000344,12,False
2000345,8,False
2000346,10,False
2000347,2,False
2000348,0,True
2000349,6,False
2000350,12,False
2000351,0,True
2000352,6,False
2000353,10,False
2000354,8,False
2000355,8,False
2000356,6,False
2000357,0,True
2000358,0,True
2000359,8,False
2000360,7,False
2000361,10,False
2000362,8,False
2000363,6,False
2000364,14,False
2000365,0,True
2000366,12,False
2000367,12,False
2000368,6,False
2000369,6,False
2000370,12,False
2000371,10,False
2000372,4,False
2000373,6,False
2000374,0,True
2000375,8,False
2000376,10,False
2000377,9,False
2000378,0,True
2000379,0,True
2000380,8,False
2000381,0,True
2000382,12,False
2000383,10,False
2000384,0,True
2000385,0,True
2000386,0,True
2000387,8,False
2000388,12,False
2000389,8,False
2000390,10,False
2000391,6,False
2000392,0,True
2000393,7,False
2000394,0,True
2000395,9,False
2000396,10,False
2000397,0,True
2000398,0,True
2000399,0,True
2000400,12,False
2000401,10,False
2000402,8,False
2000403,0,True
2000404,12,False
2000405,0,True
2000406,10,False
2000407,12,False
2000408,0,True
2000409,14,False
2000410,10,False
2000411,10,False
2000412,8,False
2000413,8,False
2000414,0,True
2000415,0,True
2000416,0,True
2000417,8,False
2000418,6,False
2000419,8,False
2000420,10,False
2000421,10,False
2000422,10,False
2000423,4,False
2000424,5,False
2000425,8,False
2000426,10,False
2000427,8,False
2000428,9,False
2000429,0,True
2000430,0,True
2000431,0,True
2000432,12,False
2000433,10,False
2000434,0,True
2000435,0,True
2000436,12,False
2000437,0,True
2000438,0,True
2000439,10,False
2000440,8,False
2000441,10,False
2000442,10,False
2000443,0,True
2000444,0,True
2000445,0,True
2000446,10,False
2000447,0,True
2000448,6,False
2000449,5,False
2000450,0,True
2000451,0,True
2000452,10,False
2000453,9,False
2000454,6,False
2000455,6,False
2000456,10,False
2000457,10,False
2000458,8,False
2000459,10,False
2000460,0,True
2000461,10,False
2000462,9,False
2000463,0,True
2000464,6,False
2000465,0,True
2000466,0,True
2000467,12,False
2000468,8,False
2000469,6,False
2000470,4,False
2000471,6,False
2000472,0,True
2000473,8,False
2000474,12,False
2000475,6,False
2000476,10,False
2000477,10,False
2000478,8,False
2000479,0,True
2000480,0,True
2000481,0,True
2000482,10,False
2000483,10,False
2000484,8,False
2000485,0,True
2000486,8,False
2000487,6,False
2000488,8,False
2000489,8,False
2000490,7,False
2000491,12,False
2000492,8,False
2000493,8,False
2000494,10,False
2000495,8,False
2000496,6,False
2000497,10,False
2000498,6,False
2000499,8,False
2000500,0,True
2000501,10,False
2000502,8,False
2000503,8,False
2000504,8,False
2000505,0,True
2000506,6,False
2000507,0,True
2000508,10,False
2000509,8,False
2000510,0,True
2000511,0,True
2000512,0,True
2000513,10,False
