seed,score,turns,lost,final_regions,final_culture,final_military,final_industry,final_built_count,final_completed_monuments,case_file
2001430,16,21,False,5,1,2,1,3,2,case_score16_seed2001430.json
2002237,16,21,False,5,0,0,5,3,2,case_score16_seed2002237.json
2002968,16,21,False,5,2,0,2,4,2,case_score16_seed2002968.json
2003069,16,21,False,5,1,1,4,3,2,case_score16_seed2003069.json
2003310,16,21,False,5,2,0,5,4,2,case_score16_seed2003310.json
2003662,16,21,False,5,0,0,1,3,2,case_score16_seed2003662.json
2004978,16,21,False,5,1,1,4,3,2,case_score16_seed2004978.json
2005038,16,21,False,5,1,1,1,4,2,case_score16_seed2005038.json
2006039,16,21,False,5,1,1,2,3,2,case_score16_seed2006039.json
2006709,16,21,False,6,0,0,3,2,2,case_score16_seed2006709.json
2008065,16,21,False,5,0,1,1,3,2,case_score16_seed2008065.json
2008671,16,21,False,5,0,1,4,3,2,case_score16_seed2008671.json
