seed,score,turns,turn_complete_arc,turn_complete_senate,conquest_before_inv1,conquest_before_inv2,pre_inv1_culture,pre_inv1_military,pre_inv1_industry,pre_inv1_regions,pre_inv2_culture,pre_inv2_military,pre_inv2_industry,pre_inv2_regions,final_regions,final_built_count,final_completed_monuments,file,build_turn_B_JunTuanYaoSai,build_turn_B_YuanXingJingJiChang,build_turn_B_DiGuoJinKuang,build_turn_B_KaiXuanDiaoSu,build_turn_B_DiGuoYinShuiDao,seen_turn_帝国广场1,seen_turn_帝国广场2,seen_turn_凯旋门1,seen_turn_凯旋门2,seen_turn_军团要塞,seen_turn_圆形竞技场,seen_turn_帝国金矿,seen_turn_凯旋雕塑,seen_turn_帝国引水道
9000297,16,21,13,10,1,3,4,7,1,1,2,3,0,4,6,2,2,case_score16_seed9000297.json,,3,,,21.0,5,4,3,2,6,3,5,1,4
9000501,16,21,17,11,1,3,6,6,1,2,9,6,1,4,6,2,2,case_score16_seed9000501.json,,5,,,21.0,7,6,5,3,4,5,2,1,2
9000920,16,21,14,10,1,3,8,6,1,2,9,3,0,4,6,2,2,case_score16_seed9000920.json,,4,,19.0,,7,2,3,1,3,4,1,6,2
9001406,16,21,18,8,1,3,4,3,1,2,9,8,2,4,6,2,2,case_score16_seed9001406.json,,2,,16.0,,6,4,2,4,7,2,7,6,3
9001696,16,21,18,12,1,3,6,3,1,2,6,3,0,4,6,2,2,case_score16_seed9001696.json,,2,,16.0,,6,4,4,6,7,2,6,5,2
9001802,16,21,21,10,1,3,1,5,0,2,8,4,0,4,6,2,2,case_score16_seed9001802.json,,4,,,12.0,6,1,4,1,2,4,6,2,7
9001890,16,21,16,9,1,3,3,4,0,2,9,5,3,4,6,2,2,case_score16_seed9001890.json,,5,,17.0,,4,6,1,5,6,5,4,5,3
9002357,16,21,18,8,1,3,0,6,0,1,8,5,2,4,6,2,2,case_score16_seed9002357.json,,6,,19.0,,5,4,3,3,2,6,3,7,2
9002769,16,21,20,8,1,3,0,4,1,2,5,5,0,3,5,3,2,case_score16_seed9002769.json,,5,,11.0,19.0,3,5,7,3,7,5,2,4,1
9003309,16,21,14,12,1,2,6,4,1,2,5,4,5,3,5,3,2,case_score16_seed9003309.json,,2,,19.0,20.0,6,2,6,5,4,2,7,5,1
9003438,16,21,17,11,2,4,4,4,1,2,9,3,2,4,6,2,2,case_score16_seed9003438.json,,2,,21.0,,6,1,6,6,5,2,2,1,7
9003491,16,21,21,11,1,3,7,4,0,1,9,4,5,3,5,3,2,case_score16_seed9003491.json,,3,,17.0,20.0,5,6,5,5,1,3,4,2,2
9003848,16,21,19,11,2,3,8,2,1,3,9,5,2,4,5,3,2,case_score16_seed9003848.json,,3,,20.0,21.0,7,2,6,5,6,3,4,1,4
