seed,score,lost
9000000,10,False
9000001,5,False
9000002,8,False
9000003,10,False
9000004,10,False
9000005,12,False
9000006,8,False
9000007,14,False
9000008,7,False
9000009,10,False
9000010,10,False
9000011,14,False
9000012,6,False
9000013,12,False
9000014,12,False
9000015,14,False
9000016,12,False
9000017,12,False
9000018,12,False
9000019,14,False
9000020,9,False
9000021,12,False
9000022,12,False
9000023,8,False
9000024,12,False
9000025,10,False
9000026,12,False
9000027,14,False
9000028,9,False
9000029,10,False
9000030,10,False
9000031,10,False
9000032,12,False
9000033,12,False
9000034,10,False
9000035,10,False
9000036,9,False
9000037,7,False
9000038,6,False
9000039,10,False
9000040,12,False
9000041,6,False
9000042,14,False
9000043,9,False
9000044,12,False
9000045,6,False
9000046,12,False
9000047,12,False
9000048,14,False
9000049,8,False
9000050,11,False
9000051,10,False
9000052,10,False
9000053,6,False
9000054,12,False
9000055,8,False
9000056,12,False
9000057,9,False
9000058,9,False
9000059,4,False
9000060,10,False
9000061,8,False
9000062,8,False
9000063,9,False
9000064,4,False
9000065,10,False
9000066,14,False
9000067,12,False
9000068,10,False
9000069,9,False
9000070,8,False
9000071,10,False
9000072,8,False
9000073,12,False
9000074,8,False
9000075,10,False
9000076,6,False
9000077,8,False
9000078,12,False
9000079,12,False
9000080,8,False
9000081,12,False
9000082,10,False
9000083,9,False
9000084,12,False
9000085,5,False
9000086,8,False
9000087,8,False
9000088,7,False
9000089,12,False
9000090,7,False
9000091,9,False
9000092,12,False
9000093,9,False
9000094,12,False
9000095,9,False
9000096,9,False
9000097,10,False
9000098,12,False
9000099,6,False
9000100,11,False
9000101,12,False
9000102,12,False
9000103,8,False
9000104,9,False
9000105,6,False
9000106,8,False
9000107,6,False
9000108,6,False
9000109,10,False
9000110,10,False
9000111,12,False
9000112,10,False
9000113,12,False
9000114,12,False
9000115,10,False
9000116,5,False
9000117,12,False
9000118,12,False
9000119,12,False
9000120,8,False
9000121,10,False
9000122,10,False
9000123,10,False
9000124,7,False
9000125,12,False
9000126,4,False
9000127,8,False
9000128,10,False
9000129,8,False
9000130,10,False
9000131,12,False
9000132,8,False
9000133,9,False
9000134,10,False
9000135,10,False
9000136,12,False
9000137,8,False
9000138,10,False
9000139,10,False
9000140,10,False
9000141,12,False
9000142,2,False
9000143,12,False
9000144,10,False
9000145,10,False
9000146,12,False
9000147,9,False
9000148,14,False
9000149,12,False
9000150,8,False
9000151,12,False
9000152,8,False
9000153,8,False
9000154,8,False
9000155,10,False
9000156,8,False
9000157,8,False
9000158,8,False
9000159,12,False
9000160,10,False
9000161,9,False
9000162,6,False
9000163,10,False
9000164,8,False
9000165,10,False
9000166,10,False
9000167,8,False
9000168,12,False
9000169,10,False
9000170,7,False
9000171,3,False
9000172,6,False
9000173,12,False
9000174,12,False
9000175,9,False
9000176,12,False
9000177,12,False
9000178,12,False
9000179,6,False
9000180,8,False
9000181,9,False
9000182,12,False
9000183,8,False
9000184,10,False
9000185,10,False
9000186,8,False
9000187,14,False
9000188,6,False
9000189,12,False
9000190,8,False
9000191,8,False
9000192,9,False
9000193,10,False
9000194,8,False
9000195,12,False
9000196,12,False
9000197,10,False
9000198,9,False
9000199,8,False
9000200,10,False
9000201,7,False
9000202,12,False
9000203,12,False
9000204,8,False
9000205,9,False
9000206,12,False
9000207,12,False
9000208,9,False
9000209,14,False
9000210,12,False
9000211,12,False
9000212,7,False
9000213,10,False
9000214,9,False
9000215,8,False
9000216,14,False
9000217,10,False
9000218,9,False
9000219,9,False
9000220,10,False
9000221,14,False
9000222,12,False
9000223,8,False
9000224,10,False
9000225,6,False
9000226,10,False
9000227,10,False
9000228,12,False
9000229,10,False
9000230,12,False
9000231,3,False
9000232,7,False
9000233,12,False
9000234,6,False
9000235,12,False
9000236,12,False
9000237,12,False
