seed,score,turns,lost,final_regions,final_culture,final_military,final_industry,final_built_count,final_completed_monuments,case_file
9000297,16,21,False,6,1,1,1,2,2,case_score16_seed9000297.json
9000501,16,21,False,6,2,2,0,2,2,case_score16_seed9000501.json
9000920,16,21,False,6,2,2,2,2,2,case_score16_seed9000920.json
9001406,16,21,False,6,1,2,4,2,2,case_score16_seed9001406.json
9001696,16,21,False,6,0,1,3,2,2,case_score16_seed9001696.json
9001802,16,21,False,6,1,1,1,2,2,case_score16_seed9001802.json
9001890,16,21,False,6,0,1,3,2,2,case_score16_seed9001890.json
9002357,16,21,False,6,0,0,1,2,2,case_score16_seed9002357.json
9002769,16,21,False,5,2,2,1,3,2,case_score16_seed9002769.json
9003309,16,21,False,5,1,1,3,3,2,case_score16_seed9003309.json
9003438,16,21,False,6,1,2,1,2,2,case_score16_seed9003438.json
9003491,16,21,False,5,1,1,1,3,2,case_score16_seed9003491.json
9003848,16,21,False,5,1,1,1,3,2,case_score16_seed9003848.json
9004604,16,21,False,6,1,1,2,2,2,case_score16_seed9004604.json
9005088,16,21,False,6,0,0,0,2,2,case_score16_seed9005088.json
9005348,16,21,False,6,2,3,0,2,2,case_score16_seed9005348.json
9005359,16,21,False,6,2,2,1,2,2,case_score16_seed9005359.json
9005637,16,21,False,6,2,3,2,2,2,case_score16_seed9005637.json
9005777,16,21,False,5,0,0,1,3,2,case_score16_seed9005777.json
9005990,16,21,False,5,2,3,1,3,2,case_score16_seed9005990.json
9006304,16,21,False,5,2,3,1,3,2,case_score16_seed9006304.json
9006485,16,21,False,6,1,1,1,2,2,case_score16_seed9006485.json
9006696,16,21,False,5,1,2,4,3,2,case_score16_seed9006696.json
9006742,16,21,False,6,0,0,1,2,2,case_score16_seed9006742.json
9007065,16,21,False,6,2,2,1,2,2,case_score16_seed9007065.json
9007193,16,21,False,6,0,1,4,2,2,case_score16_seed9007193.json
9007418,16,21,False,6,1,1,2,2,2,case_score16_seed9007418.json
9007431,16,21,False,6,0,0,1,2,2,case_score16_seed9007431.json
9007565,16,21,False,5,1,1,0,3,2,case_score16_seed9007565.json
9007722,16,21,False,6,1,1,2,2,2,case_score16_seed9007722.json
9008192,16,21,False,6,1,1,3,2,2,case_score16_seed9008192.json
9008213,16,21,False,6,0,1,2,2,2,case_score16_seed9008213.json
9008353,16,21,False,6,1,1,2,2,2,case_score16_seed9008353.json
9008530,16,21,False,6,2,2,3,2,2,case_score16_seed9008530.json
9008557,16,21,False,6,2,3,3,2,2,case_score16_seed9008557.json
9008982,16,21,False,5,1,1,3,3,2,case_score16_seed9008982.json
9009295,16,21,False,6,0,0,2,2,2,case_score16_seed9009295.json
9009386,16,21,False,6,0,0,4,2,2,case_score16_seed9009386.json
9009409,16,21,False,5,0,0,0,3,2,case_score16_seed9009409.json
9009615,16,21,False,5,2,2,0,3,2,case_score16_seed9009615.json
9009658,16,21,False,6,0,0,3,2,2,case_score16_seed9009658.json
