building_combo,count
B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,44
B_DiGuoYinShuiDao+B_YuanXingJingJiChang,32
B_KaiXuanDiaoSu+B_YuanXingJingJiChang,21
B_YuanXingJingJiChang,20
B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,14
B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_YuanXingJingJiChang,12
B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu,11
B_JunTuanYaoSai+B_YuanXingJingJiChang,9
B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,8
B_JunTuanYaoSai+B_KaiXuanDiaoSu,6
B_DiGuoYinShuiDao+B_JunTuanYaoSai,3
B_DiGuoYinShuiDao,3
B_DiGuoJinKuang+B_DiGuoYinShuiDao+B_YuanXingJingJiChang,3
B_DiGuoJinKuang+B_YuanXingJingJiChang,2
B_JunTuanYaoSai,2
B_DiGuoJinKuang+B_DiGuoYinShuiDao+B_KaiXuanDiaoSu,2
B_KaiXuanDiaoSu,2
B_DiGuoJinKuang+B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,2
B_DiGuoJinKuang+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,1
B_DiGuoJinKuang+B_DiGuoYinShuiDao,1
B_DiGuoJinKuang+B_JunTuanYaoSai,1
B_DiGuoYinShuiDao+B_KaiXuanDiaoSu,1
