seed,score,completed_monuments_ids,completed_monuments_names,built_buildings_ids,built_buildings_names,TopResource,Conquest,Tribute,Build_Building,Build_Monument
9100346,18,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang,帝国广场+凯旋门+罗马斗兽场,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,7,4,1,3,6
9100373,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9100416,18,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,8,4,1,2,6
9101217,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9101628,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai,帝国引水道+军团要塞,9,4,0,2,6
9101830,18,M_KaiXuanMen+M_WanShenMiao,凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+军团要塞+凯旋雕塑+圆形竞技场,8,4,1,4,4
9102118,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoJinKuang+B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国金矿+帝国引水道+凯旋雕塑+圆形竞技场,7,3,1,4,6
9102515,18,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,8,3,0,2,8
9102636,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_YuanXingJingJiChang,帝国引水道+军团要塞+圆形竞技场,7,4,1,3,6
9102713,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,9,3,0,3,6
