monument_combo,count
M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,66
M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,51
M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,19
M_KaiXuanMen+M_WanShenMiao,17
M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang,12
M_DiGuoGuangChang+M_KaiXuanMen,9
M_DiGuoGuangChang+M_LuoMaDouShouChang+M_WanShenMiao,6
M_HaDeLiangLingQin+M_KaiXuanMen+M_LuoMaDouShouChang,4
M_KaiXuanMen+M_LuoMaDouShouChang,4
M_HaDeLiangLingQin+M_LuoMaDouShouChang+M_WanShenMiao,3
M_HaDeLiangLingQin+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,2
M_HaDeLiangLingQin+M_KaiXuanMen+M_WanShenMiao,2
M_HaDeLiangLingQin+M_KaiXuanMen,1
M_DiGuoGuangChang+M_HaDeLiangLingQin+M_WanShenMiao,1
M_DiGuoGuangChang+M_HaDeLiangLingQin+M_KaiXuanMen+M_WanShenMiao,1
M_DiGuoGuangChang+M_HaDeLiangLingQin+M_KaiXuanMen,1
M_KaiXuanMen+M_LuoMaDouShouChang+M_TuLaZhenShiChang+M_WanShenMiao,1
