seed,score,turn1_cards,turn2_cards,opening_building_cnt,opening_monument_cnt,opening_action_cnt,turn_seen_Amphi,turn_seen_Senate1,turn_seen_Senate2,turn_seen_Arc1,turn_seen_Arc2
9100017,16,C04|C09|C06,C14|C05|C21,4,3,2,2,2,5,4,7
9100032,16,C02|C16|C04,C08|C20|C05,3,3,3,2,6,6,5,3
9100050,16,C07|C04|C14,C06|C20|C21,2,5,2,3,1,4,3,6
9100051,16,C16|C14|C09,C07|C03|C15,2,5,2,6,1,2,5,4
9100063,16,C16|C02|C11,C03|C08|C18,3,5,1,4,3,7,2,6
9100064,16,C19|C17|C08,C09|C07|C05,2,4,3,2,5,6,3,1
9100081,16,C10|C19|C16,C21|C01|C05,3,6,0,2,4,7,7,1
9100086,16,C19|C16|C14,C21|C09|C17,1,7,1,3,1,5,6,1
9100101,16,C14|C19|C06,C21|C13|C05,2,5,2,2,1,3,7,1
9100126,16,C07|C06|C17,C01|C20|C13,2,4,3,7,4,5,7,4
9100160,16,C12|C10|C11,C04|C01|C15,2,6,1,4,5,2,5,6
9100172,16,C03|C21|C09,C05|C04|C18,3,4,2,2,3,4,2,5
9100186,16,C15|C09|C02,C07|C05|C17,2,5,2,2,5,1,3,3
9100222,16,C07|C20|C09,C17|C16|C12,3,4,2,3,4,4,6,7
9100275,16,C10|C09|C04,C17|C08|C15,2,5,2,6,4,2,4,3
9100299,16,C04|C12|C14,C21|C03|C11,2,6,1,4,1,6,4,7
9100307,16,C12|C07|C04,C14|C05|C19,4,4,1,2,2,7,5,2
9100351,16,C13|C02|C08,C06|C11|C16,3,4,2,3,3,7,6,5
9100467,16,C10|C09|C04,C16|C08|C19,2,5,2,3,5,3,5,2
9100488,16,C21|C20|C19,C05|C16|C02,2,7,0,2,4,7,3,1
9100513,16,C05|C12|C20,C06|C07|C04,2,5,2,1,5,3,7,3
9100514,16,C18|C15|C16,C01|C07|C02,4,3,2,3,7,1,1,7
9100552,16,C08|C21|C16,C20|C06|C05,2,4,3,2,4,5,7,6
9100563,16,C02|C11|C15,C01|C17|C03,3,5,1,7,3,1,4,5
9100579,16,C06|C20|C10,C08|C04|C14,2,4,3,4,2,6,6,4
9100583,16,C19|C17|C10,C16|C08|C21,1,6,2,4,7,7,5,1
9100598,16,C02|C10|C17,C15|C03|C08,2,6,1,7,7,2,6,4
9100628,16,C02|C04|C09,C10|C05|C11,3,5,1,2,6,3,3,7
9100664,16,C16|C07|C15,C05|C10|C06,2,4,3,2,6,1,7,4
9100673,16,C11|C03|C13,C15|C20|C21,1,7,1,4,3,2,5,6
9100702,16,C04|C18|C05,C21|C13|C02,4,3,2,1,6,5,1,7
9100724,16,C16|C18|C06,C04|C17|C21,1,7,1,5,5,6,1,4
9100741,16,C01|C19|C10,C12|C08|C21,2,6,1,4,7,3,4,1
9100742,16,C19|C13|C16,C07|C15|C04,1,7,1,7,3,2,6,1
9100744,16,C07|C10|C18,C21|C05|C17,1,7,1,2,6,4,1,6
9100745,16,C01|C12|C11,C08|C07|C21,2,5,2,5,3,3,5,5
