seed,score,lost
9100000,12,False
9100001,12,False
9100002,14,False
9100003,14,False
9100004,12,False
9100005,12,False
9100006,14,False
9100007,12,False
9100008,14,False
9100009,14,False
9100010,10,False
9100011,10,False
9100012,11,False
9100013,10,False
9100014,12,False
9100015,14,False
9100016,11,False
9100017,16,False
9100018,10,False
9100019,12,False
9100020,14,False
9100021,8,False
9100022,9,False
9100023,13,False
9100024,13,False
9100025,14,False
9100026,11,False
9100027,12,False
9100028,11,False
9100029,12,False
9100030,10,False
9100031,14,False
9100032,16,False
9100033,13,False
9100034,12,False
9100035,15,False
9100036,11,False
9100037,9,False
9100038,11,False
9100039,14,False
9100040,10,False
9100041,13,False
9100042,10,False
9100043,12,False
9100044,12,False
9100045,14,False
9100046,12,False
9100047,12,False
9100048,12,False
9100049,6,False
9100050,16,False
9100051,16,False
9100052,11,False
9100053,11,False
9100054,11,False
9100055,10,False
9100056,10,False
9100057,12,False
9100058,14,False
9100059,11,False
9100060,14,False
9100061,12,False
9100062,12,False
9100063,16,False
9100064,16,False
9100065,11,False
9100066,14,False
9100067,11,False
9100068,14,False
9100069,13,False
9100070,12,False
9100071,10,False
9100072,12,False
9100073,10,False
9100074,11,False
9100075,13,False
9100076,12,False
9100077,13,False
9100078,12,False
9100079,10,False
9100080,14,False
9100081,16,False
9100082,14,False
9100083,12,False
9100084,14,False
9100085,14,False
9100086,16,False
9100087,14,False
9100088,14,False
9100089,11,False
9100090,12,False
9100091,12,False
9100092,12,False
9100093,14,False
9100094,14,False
9100095,14,False
9100096,12,False
9100097,10,False
9100098,14,False
9100099,10,False
9100100,14,False
9100101,16,False
9100102,12,False
9100103,12,False
9100104,10,False
9100105,11,False
9100106,14,False
9100107,13,False
9100108,10,False
9100109,12,False
9100110,12,False
9100111,11,False
9100112,13,False
9100113,11,False
9100114,14,False
9100115,14,False
9100116,12,False
9100117,12,False
9100118,14,False
9100119,9,False
9100120,10,False
9100121,14,False
9100122,9,False
9100123,13,False
9100124,10,False
9100125,10,False
9100126,16,False
9100127,14,False
9100128,15,False
9100129,14,False
9100130,13,False
9100131,14,False
9100132,14,False
9100133,15,False
9100134,11,False
9100135,13,False
9100136,10,False
9100137,11,False
9100138,11,False
9100139,10,False
9100140,12,False
9100141,14,False
9100142,12,False
9100143,13,False
9100144,9,False
9100145,14,False
9100146,12,False
9100147,12,False
9100148,12,False
9100149,10,False
9100150,14,False
9100151,14,False
9100152,11,False
9100153,12,False
9100154,12,False
9100155,12,False
9100156,11,False
9100157,13,False
9100158,10,False
9100159,13,False
9100160,16,False
9100161,14,False
9100162,12,False
9100163,13,False
9100164,14,False
9100165,14,False
9100166,10,False
9100167,10,False
9100168,12,False
9100169,13,False
9100170,13,False
9100171,10,False
9100172,16,False
9100173,10,False
9100174,12,False
9100175,13,False
9100176,12,False
9100177,12,False
9100178,12,False
9100179,12,False
9100180,13,False
9100181,12,False
9100182,12,False
9100183,10,False
9100184,12,False
9100185,14,False
9100186,16,False
9100187,10,False
9100188,12,False
9100189,15,False
9100190,13,False
9100191,9,False
9100192,11,False
9100193,12,False
9100194,14,False
9100195,13,False
9100196,12,False
9100197,14,False
9100198,14,False
9100199,12,False
9100200,12,False
9100201,12,False
9100202,11,False
9100203,11,False
9100204,12,False
9100205,12,False
9100206,9,False
9100207,10,False
9100208,11,False
9100209,14,False
9100210,10,False
9100211,12,False
9100212,12,False
9100213,12,False
9100214,12,False
9100215,11,False
9100216,12,False
9100217,14,False
9100218,13,False
9100219,14,False
9100220,10,False
9100221,12,False
9100222,16,False
9100223,8,False
9100224,12,False
9100225,12,False
9100226,10,False
9100227,14,False
9100228,12,False
9100229,10,False
9100230,12,False
9100231,11,False
9100232,13,False
9100233,13,False
9100234,12,False
9100235,12,False
9100236,11,False
9100237,14,False
9100238,14,False
9100239,14,False
9100240,13,False
9100241,12,False
9100242,11,False
9100243,14,False
9100244,10,False
9100245,11,False
9100246,14,False
9100247,11,False
9100248,10,False
9100249,14,False
9100250,13,False
9100251,12,False
9100252,14,False
9100253,13,False
9100254,11,False
9100255,12,False
9100256,14,False
9100257,14,False
9100258,10,False
9100259,13,False
9100260,11,False
9100261,10,False
9100262,14,False
9100263,14,False
9100264,14,False
9100265,11,False
9100266,11,False
9100267,10,False
9100268,12,False
9100269,14,False
9100270,14,False
9100271,12,False
9100272,12,False
9100273,12,False
9100274,10,False
9100275,16,False
9100276,12,False
9100277,11,False
9100278,10,False
9100279,12,False
9100280,9,False
9100281,14,False
9100282,11,False
9100283,13,False
9100284,12,False
9100285,14,False
9100286,13,False
9100287,12,False
9100288,14,False
9100289,9,False
9100290,14,False
9100291,11,False
9100292,12,False
9100293,13,False
9100294,13,False
9100295,11,False
9100296,14,False
9100297,12,False
9100298,12,False
9100299,16,False
9100300,14,False
9100301,10,False
9100302,11,False
9100303,14,False
9100304,12,False
9100305,14,False
9100306,10,False
9100307,16,False
9100308,12,False
9100309,14,False
9100310,9,False
9100311,12,False
9100312,12,False
9100313,10,False
9100314,14,False
9100315,12,False
9100316,14,False
9100317,8,False
9100318,9,False
9100319,11,False
9100320,15,False
9100321,10,False
9100322,11,False
9100323,14,False
9100324,14,False
9100325,12,False
9100326,14,False
9100327,9,False
9100328,12,False
9100329,12,False
9100330,14,False
9100331,14,False
9100332,12,False
9100333,12,False
9100334,12,False
9100335,12,False
9100336,12,False
9100337,14,False
9100338,10,False
9100339,12,False
9100340,9,False
9100341,10,False
9100342,15,False
9100343,11,False
9100344,12,False
9100345,10,False
9100346,18,False
9100347,11,False
9100348,10,False
9100349,12,False
9100350,13,False
9100351,16,False
9100352,12,False
9100353,14,False
9100354,14,False
9100355,13,False
9100356,13,False
9100357,11,False
9100358,11,False
9100359,12,False
9100360,14,False
9100361,10,False
9100362,10,False
9100363,14,False
9100364,10,False
9100365,9,False
9100366,12,False
9100367,12,False
9100368,8,False
9100369,12,False
9100370,12,False
9100371,11,False
9100372,13,False
9100373,18,False
9100374,11,False
9100375,12,False
9100376,11,False
9100377,11,False
9100378,13,False
9100379,10,False
9100380,8,False
9100381,12,False
9100382,10,False
9100383,14,False
9100384,11,False
9100385,10,False
9100386,12,False
9100387,10,False
9100388,12,False
9100389,12,False
9100390,11,False
9100391,13,False
9100392,14,False
9100393,14,False
9100394,10,False
9100395,11,False
9100396,14,False
9100397,11,False
9100398,14,False
9100399,13,False
9100400,14,False
9100401,10,False
9100402,12,False
9100403,12,False
9100404,11,False
9100405,14,False
9100406,14,False
9100407,10,False
9100408,11,False
9100409,14,False
9100410,14,False
9100411,12,False
9100412,12,False
9100413,12,False
9100414,12,False
9100415,12,False
9100416,18,False
9100417,14,False
9100418,11,False
9100419,10,False
9100420,12,False
9100421,11,False
9100422,14,False
9100423,12,False
9100424,11,False
9100425,12,False
9100426,12,False
9100427,14,False
9100428,12,False
9100429,14,False
9100430,12,False
9100431,14,False
9100432,10,False
9100433,12,False
9100434,10,False
9100435,13,False
9100436,12,False
9100437,9,False
9100438,12,False
9100439,12,False
9100440,13,False
9100441,12,False
9100442,10,False
9100443,12,False
9100444,13,False
9100445,14,False
9100446,12,False
9100447,10,False
9100448,13,False
9100449,11,False
9100450,11,False
9100451,12,False
9100452,10,False
9100453,10,False
9100454,11,False
9100455,10,False
9100456,14,False
9100457,12,False
9100458,9,False
9100459,12,False
9100460,13,False
9100461,14,False
9100462,10,False
9100463,12,False
9100464,12,False
9100465,9,False
9100466,10,False
9100467,16,False
9100468,12,False
9100469,13,False
9100470,9,False
9100471,13,False
9100472,12,False
9100473,10,False
9100474,8,False
9100475,13,False
9100476,11,False
9100477,10,False
9100478,13,False
9100479,14,False
9100480,10,False
9100481,4,False
9100482,13,False
9100483,12,False
9100484,12,False
9100485,8,False
9100486,10,False
9100487,8,False
9100488,16,False
9100489,11,False
9100490,11,False
9100491,9,False
9100492,14,False
9100493,14,False
9100494,12,False
9100495,12,False
9100496,10,False
9100497,12,False
9100498,12,False
9100499,13,False
9100500,14,False
9100501,12,False
9100502,13,False
9100503,12,False
9100504,11,False
9100505,10,False
9100506,14,False
9100507,12,False
9100508,12,False
9100509,8,False
9100510,14,False
9100511,11,False
9100512,13,False
9100513,16,False
9100514,16,False
9100515,14,False
9100516,11,False
9100517,12,False
9100518,12,False
9100519,14,False
9100520,10,False
9100521,10,False
9100522,14,False
9100523,10,False
9100524,12,False
9100525,11,False
9100526,10,False
9100527,12,False
9100528,14,False
9100529,12,False
9100530,15,False
9100531,14,False
9100532,10,False
9100533,12,False
9100534,10,False
9100535,15,False
9100536,10,False
9100537,11,False
9100538,14,False
9100539,14,False
9100540,14,False
9100541,12,False
9100542,10,False
9100543,11,False
9100544,12,False
9100545,11,False
9100546,14,False
9100547,14,False
9100548,12,False
9100549,12,False
9100550,14,False
9100551,11,False
9100552,16,False
9100553,8,False
9100554,13,False
9100555,10,False
9100556,10,False
9100557,14,False
9100558,13,False
9100559,13,False
9100560,17,False
9100561,11,False
9100562,14,False
9100563,16,False
9100564,12,False
9100565,14,False
9100566,10,False
9100567,12,False
9100568,12,False
9100569,12,False
9100570,12,False
9100571,12,False
9100572,14,False
9100573,9,False
9100574,12,False
9100575,13,False
9100576,13,False
9100577,12,False
9100578,12,False
9100579,16,False
9100580,12,False
9100581,11,False
9100582,12,False
9100583,16,False
9100584,10,False
9100585,13,False
9100586,12,False
9100587,13,False
9100588,13,False
9100589,14,False
9100590,12,False
9100591,9,False
9100592,7,False
9100593,10,False
9100594,13,False
9100595,11,False
9100596,11,False
9100597,8,False
9100598,16,False
9100599,12,False
9100600,11,False
9100601,14,False
9100602,11,False
9100603,12,False
9100604,9,False
9100605,10,False
9100606,12,False
9100607,14,False
9100608,13,False
9100609,12,False
9100610,12,False
9100611,10,False
9100612,10,False
9100613,12,False
9100614,12,False
9100615,13,False
9100616,14,False
9100617,12,False
9100618,8,False
9100619,14,False
9100620,11,False
9100621,10,False
9100622,11,False
9100623,13,False
9100624,14,False
9100625,12,False
9100626,10,False
9100627,12,False
9100628,16,False
9100629,9,False
9100630,11,False
9100631,10,False
9100632,13,False
9100633,12,False
9100634,11,False
9100635,11,False
9100636,12,False
9100637,10,False
9100638,12,False
9100639,12,False
9100640,13,False
9100641,14,False
9100642,12,False
9100643,11,False
9100644,11,False
9100645,8,False
9100646,10,False
9100647,12,False
9100648,14,False
9100649,12,False
9100650,11,False
9100651,10,False
9100652,9,False
9100653,8,False
9100654,14,False
9100655,10,False
9100656,10,False
9100657,11,False
9100658,12,False
9100659,10,False
9100660,15,False
9100661,14,False
9100662,9,False
9100663,13,False
9100664,16,False
9100665,12,False
9100666,8,False
9100667,12,False
9100668,12,False
9100669,12,False
9100670,12,False
9100671,11,False
9100672,9,False
9100673,16,False
9100674,14,False
9100675,14,False
9100676,10,False
9100677,13,False
9100678,14,False
9100679,12,False
9100680,11,False
9100681,14,False
9100682,12,False
9100683,8,False
9100684,14,False
9100685,12,False
9100686,11,False
9100687,11,False
9100688,9,False
9100689,13,False
9100690,11,False
9100691,14,False
9100692,9,False
9100693,11,False
9100694,10,False
9100695,12,False
9100696,14,False
9100697,13,False
9100698,12,False
9100699,12,False
9100700,14,False
9100701,12,False
9100702,16,False
9100703,10,False
9100704,14,False
9100705,12,False
9100706,10,False
9100707,9,False
9100708,14,False
9100709,9,False
9100710,12,False
9100711,11,False
9100712,11,False
9100713,12,False
9100714,12,False
9100715,9,False
9100716,14,False
9100717,14,False
9100718,11,False
9100719,12,False
9100720,10,False
9100721,14,False
9100722,12,False
9100723,10,False
9100724,16,False
9100725,12,False
9100726,11,False
9100727,12,False
9100728,14,False
9100729,12,False
9100730,12,False
9100731,12,False
9100732,14,False
9100733,14,False
9100734,13,False
9100735,12,False
9100736,12,False
9100737,12,False
9100738,12,False
9100739,12,False
9100740,11,False
9100741,16,False
9100742,16,False
9100743,13,False
9100744,16,False
9100745,16,False
9100746,12,False
9100747,12,False
9100748,13,False
9100749,16,False
9100750,14,False
9100751,14,False
9100752,9,False
9100753,13,False
9100754,10,False
9100755,10,False
9100756,10,False
9100757,14,False
9100758,12,False
9100759,12,False
9100760,12,False
9100761,14,False
9100762,10,False
9100763,13,False
9100764,11,False
9100765,14,False
9100766,14,False
9100767,14,False
9100768,15,False
9100769,11,False
9100770,14,False
9100771,9,False
9100772,10,False
9100773,11,False
9100774,13,False
9100775,10,False
9100776,9,False
9100777,10,False
9100778,11,False
9100779,10,False
9100780,11,False
9100781,13,False
9100782,11,False
9100783,12,False
9100784,13,False
9100785,12,False
9100786,16,False
9100787,16,False
9100788,12,False
9100789,12,False
9100790,11,False
9100791,10,False
9100792,14,False
9100793,13,False
9100794,11,False
9100795,10,False
9100796,14,False
9100797,10,False
9100798,10,False
9100799,12,False
9100800,11,False
9100801,16,False
9100802,12,False
9100803,14,False
9100804,13,False
9100805,10,False
9100806,10,False
9100807,12,False
9100808,15,False
9100809,14,False
9100810,16,False
9100811,12,False
9100812,14,False
9100813,10,False
9100814,8,False
9100815,8,False
9100816,13,False
9100817,12,False
9100818,10,False
9100819,15,False
9100820,14,False
9100821,14,False
9100822,10,False
9100823,11,False
9100824,12,False
9100825,11,False
9100826,12,False
9100827,10,False
9100828,14,False
9100829,15,False
9100830,11,False
9100831,12,False
9100832,11,False
9100833,14,False
9100834,13,False
9100835,12,False
9100836,14,False
9100837,11,False
9100838,11,False
9100839,14,False
9100840,12,False
9100841,10,False
9100842,12,False
9100843,13,False
9100844,10,False
9100845,12,False
9100846,14,False
9100847,9,False
9100848,12,False
9100849,10,False
9100850,12,False
9100851,16,False
9100852,11,False
9100853,12,False
9100854,10,False
9100855,14,False
9100856,10,False
9100857,13,False
9100858,14,False
9100859,13,False
9100860,11,False
9100861,12,False
9100862,12,False
9100863,12,False
9100864,16,False
9100865,6,False
9100866,11,False
9100867,12,False
9100868,12,False
9100869,12,False
9100870,12,False
9100871,13,False
9100872,14,False
9100873,13,False
9100874,10,False
9100875,12,False
9100876,12,False
9100877,12,False
9100878,14,False
9100879,12,False
9100880,12,False
9100881,14,False
9100882,11,False
9100883,12,False
9100884,14,False
9100885,8,False
9100886,12,False
9100887,12,False
9100888,9,False
9100889,12,False
9100890,11,False
9100891,12,False
9100892,12,False
9100893,11,False
9100894,11,False
9100895,10,False
9100896,8,False
9100897,14,False
9100898,12,False
9100899,11,False
9100900,10,False
9100901,14,False
9100902,16,False
9100903,12,False
9100904,11,False
9100905,14,False
9100906,12,False
9100907,14,False
9100908,11,False
9100909,10,False
9100910,13,False
9100911,9,False
9100912,9,False
9100913,11,False
9100914,9,False
9100915,11,False
9100916,12,False
9100917,13,False
9100918,12,False
9100919,12,False
9100920,11,False
9100921,14,False
9100922,14,False
9100923,12,False
9100924,16,False
9100925,14,False
9100926,12,False
9100927,10,False
9100928,12,False
9100929,12,False
9100930,14,False
9100931,13,False
9100932,12,False
9100933,12,False
9100934,11,False
9100935,15,False
9100936,14,False
9100937,13,False
9100938,12,False
9100939,12,False
9100940,12,False
9100941,10,False
9100942,12,False
9100943,12,False
9100944,10,False
9100945,7,False
9100946,14,False
9100947,8,False
9100948,12,False
9100949,12,False
9100950,13,False
9100951,10,False
9100952,10,False
9100953,12,False
9100954,12,False
9100955,12,False
9100956,12,False
9100957,12,False
9100958,11,False
9100959,12,False
9100960,11,False
9100961,11,False
9100962,11,False
9100963,10,False
9100964,14,False
9100965,13,False
9100966,15,False
9100967,11,False
9100968,12,False
9100969,9,False
9100970,12,False
9100971,14,False
9100972,12,False
9100973,12,False
9100974,14,False
9100975,12,False
9100976,12,False
9100977,11,False
9100978,13,False
9100979,12,False
9100980,14,False
9100981,10,False
9100982,12,False
9100983,14,False
9100984,12,False
9100985,11,False
9100986,12,False
9100987,13,False
9100988,12,False
9100989,11,False
9100990,14,False
9100991,7,False
9100992,14,False
9100993,14,False
9100994,11,False
9100995,13,False
9100996,14,False
9100997,11,False
9100998,13,False
9100999,14,False
9101000,12,False
9101001,12,False
9101002,16,False
9101003,12,False
9101004,14,False
9101005,14,False
9101006,12,False
9101007,12,False
9101008,12,False
9101009,14,False
9101010,14,False
9101011,12,False
9101012,14,False
9101013,12,False
9101014,16,False
9101015,6,False
9101016,10,False
9101017,14,False
9101018,9,False
9101019,9,False
9101020,12,False
9101021,12,False
9101022,14,False
9101023,12,False
9101024,12,False
9101025,12,False
9101026,10,False
9101027,11,False
9101028,12,False
9101029,12,False
9101030,13,False
9101031,14,False
9101032,10,False
9101033,12,False
9101034,7,False
9101035,10,False
9101036,12,False
9101037,12,False
9101038,12,False
9101039,12,False
9101040,12,False
9101041,12,False
9101042,13,False
9101043,14,False
9101044,16,False
9101045,11,False
9101046,11,False
9101047,17,False
9101048,10,False
9101049,11,False
9101050,12,False
9101051,8,False
9101052,12,False
9101053,12,False
9101054,12,False
9101055,16,False
9101056,10,False
9101057,12,False
9101058,12,False
9101059,10,False
9101060,10,False
9101061,12,False
9101062,11,False
9101063,12,False
9101064,16,False
9101065,12,False
9101066,11,False
9101067,8,False
9101068,14,False
9101069,12,False
9101070,12,False
9101071,12,False
9101072,12,False
9101073,14,False
9101074,11,False
9101075,14,False
9101076,11,False
9101077,12,False
9101078,11,False
9101079,12,False
9101080,8,False
9101081,9,False
9101082,12,False
9101083,16,False
9101084,12,False
9101085,10,False
9101086,12,False
9101087,11,False
9101088,16,False
9101089,10,False
9101090,12,False
9101091,12,False
9101092,12,False
9101093,16,False
9101094,10,False
9101095,12,False
9101096,12,False
9101097,12,False
9101098,10,False
9101099,12,False
9101100,14,False
9101101,14,False
9101102,13,False
9101103,14,False
9101104,10,False
9101105,12,False
9101106,11,False
9101107,12,False
9101108,10,False
9101109,12,False
9101110,12,False
9101111,14,False
9101112,11,False
9101113,13,False
9101114,12,False
9101115,11,False
9101116,11,False
9101117,11,False
9101118,14,False
9101119,11,False
9101120,14,False
9101121,13,False
9101122,14,False
9101123,14,False
9101124,16,False
9101125,12,False
9101126,14,False
9101127,7,False
9101128,11,False
9101129,10,False
9101130,16,False
9101131,12,False
9101132,11,False
9101133,9,False
9101134,14,False
9101135,12,False
9101136,14,False
9101137,14,False
9101138,14,False
9101139,12,False
9101140,13,False
9101141,12,False
9101142,10,False
9101143,12,False
9101144,10,False
9101145,12,False
9101146,13,False
9101147,10,False
9101148,16,False
9101149,13,False
9101150,10,False
9101151,14,False
9101152,14,False
9101153,14,False
9101154,13,False
9101155,12,False
9101156,14,False
9101157,12,False
9101158,14,False
9101159,10,False
9101160,12,False
9101161,14,False
9101162,12,False
9101163,10,False
9101164,10,False
9101165,14,False
9101166,11,False
9101167,14,False
9101168,14,False
9101169,10,False
9101170,11,False
9101171,9,False
9101172,10,False
9101173,16,False
9101174,12,False
9101175,11,False
9101176,14,False
9101177,12,False
9101178,15,False
9101179,14,False
9101180,14,False
9101181,10,False
9101182,14,False
9101183,12,False
9101184,11,False
9101185,11,False
9101186,14,False
9101187,12,False
9101188,14,False
9101189,10,False
9101190,10,False
9101191,8,False
9101192,10,False
9101193,10,False
9101194,12,False
9101195,12,False
9101196,14,False
9101197,11,False
9101198,12,False
9101199,11,False
9101200,12,False
9101201,12,False
9101202,11,False
9101203,10,False
9101204,13,False
9101205,13,False
9101206,11,False
9101207,13,False
9101208,11,False
9101209,13,False
9101210,12,False
9101211,12,False
9101212,14,False
9101213,12,False
9101214,9,False
9101215,11,False
9101216,10,False
9101217,18,False
9101218,13,False
9101219,11,False
9101220,16,False
9101221,13,False
9101222,13,False
9101223,9,False
9101224,12,False
9101225,11,False
9101226,13,False
9101227,14,False
9101228,14,False
9101229,15,False
9101230,14,False
9101231,14,False
9101232,14,False
9101233,13,False
9101234,10,False
9101235,10,False
9101236,11,False
9101237,14,False
9101238,10,False
9101239,14,False
9101240,11,False
9101241,11,False
9101242,13,False
9101243,14,False
9101244,10,False
9101245,12,False
9101246,12,False
9101247,13,False
9101248,12,False
9101249,12,False
9101250,16,False
9101251,12,False
9101252,12,False
9101253,10,False
9101254,13,False
9101255,14,False
9101256,13,False
9101257,12,False
9101258,13,False
9101259,10,False
9101260,12,False
9101261,16,False
9101262,12,False
9101263,12,False
9101264,10,False
9101265,12,False
9101266,13,False
9101267,12,False
9101268,12,False
9101269,12,False
9101270,13,False
9101271,14,False
9101272,12,False
9101273,12,False
9101274,9,False
9101275,9,False
9101276,11,False
9101277,13,False
9101278,14,False
9101279,13,False
9101280,11,False
9101281,12,False
9101282,12,False
9101283,12,False
9101284,15,False
9101285,13,False
9101286,12,False
9101287,11,False
9101288,10,False
9101289,14,False
9101290,11,False
9101291,10,False
9101292,10,False
9101293,11,False
9101294,11,False
9101295,12,False
9101296,10,False
9101297,12,False
9101298,12,False
9101299,11,False
9101300,14,False
9101301,14,False
9101302,10,False
9101303,12,False
9101304,14,False
9101305,12,False
9101306,16,False
9101307,7,False
9101308,13,False
9101309,14,False
9101310,12,False
9101311,11,False
9101312,13,False
9101313,12,False
9101314,16,False
9101315,11,False
9101316,11,False
9101317,12,False
9101318,14,False
9101319,10,False
9101320,12,False
9101321,12,False
9101322,10,False
9101323,12,False
9101324,12,False
9101325,12,False
9101326,14,False
9101327,10,False
9101328,11,False
9101329,13,False
9101330,16,False
9101331,14,False
9101332,10,False
9101333,14,False
9101334,14,False
9101335,14,False
9101336,13,False
9101337,12,False
9101338,9,False
9101339,16,False
9101340,13,False
9101341,14,False
9101342,10,False
9101343,11,False
9101344,9,False
9101345,9,False
9101346,10,False
9101347,9,False
9101348,16,False
9101349,14,False
9101350,10,False
9101351,16,False
9101352,11,False
9101353,12,False
9101354,12,False
9101355,14,False
9101356,10,False
9101357,12,False
9101358,14,False
9101359,11,False
9101360,14,False
9101361,10,False
9101362,10,False
9101363,12,False
9101364,8,False
9101365,10,False
9101366,14,False
9101367,12,False
9101368,16,False
9101369,12,False
9101370,8,False
9101371,14,False
9101372,9,False
9101373,12,False
9101374,14,False
9101375,11,False
9101376,16,False
9101377,10,False
9101378,10,False
9101379,10,False
9101380,13,False
9101381,12,False
9101382,11,False
9101383,9,False
9101384,12,False
9101385,14,False
9101386,12,False
9101387,13,False
9101388,14,False
9101389,14,False
9101390,14,False
9101391,14,False
9101392,9,False
9101393,10,False
9101394,14,False
9101395,14,False
9101396,11,False
9101397,14,False
9101398,10,False
9101399,9,False
9101400,13,False
9101401,12,False
9101402,11,False
9101403,10,False
9101404,13,False
9101405,14,False
9101406,12,False
9101407,10,False
9101408,16,False
9101409,8,False
9101410,12,False
9101411,11,False
9101412,10,False
9101413,12,False
9101414,12,False
9101415,12,False
9101416,11,False
9101417,8,False
9101418,13,False
9101419,12,False
9101420,14,False
9101421,11,False
9101422,11,False
9101423,14,False
9101424,13,False
9101425,14,False
9101426,13,False
9101427,10,False
9101428,10,False
9101429,12,False
9101430,13,False
9101431,11,False
9101432,11,False
9101433,12,False
9101434,11,False
9101435,12,False
9101436,10,False
9101437,12,False
9101438,11,False
9101439,14,False
9101440,12,False
9101441,14,False
9101442,12,False
9101443,10,False
9101444,12,False
9101445,9,False
9101446,11,False
9101447,16,False
9101448,12,False
9101449,12,False
9101450,10,False
9101451,11,False
9101452,13,False
9101453,11,False
9101454,12,False
9101455,12,False
9101456,13,False
9101457,12,False
9101458,13,False
9101459,14,False
9101460,9,False
9101461,10,False
9101462,11,False
9101463,9,False
9101464,9,False
9101465,12,False
9101466,14,False
9101467,11,False
9101468,10,False
9101469,14,False
9101470,11,False
9101471,12,False
9101472,11,False
9101473,12,False
9101474,11,False
9101475,15,False
9101476,12,False
9101477,12,False
9101478,12,False
9101479,12,False
9101480,15,False
