seed,score,turns,lost,final_regions,final_culture,final_military,final_industry,final_built_count,final_completed_monuments,case_file
9100346,18,21,False,5,3,1,0,3,3,case_score18_seed9100346.json
9100373,18,21,False,4,5,1,2,3,3,case_score18_seed9100373.json
9100416,18,21,False,5,0,1,0,2,3,case_score18_seed9100416.json
9101217,18,21,False,4,0,0,2,3,3,case_score18_seed9101217.json
9101628,18,21,False,5,0,1,0,2,3,case_score18_seed9101628.json
9101830,18,21,False,5,4,0,0,4,2,case_score18_seed9101830.json
9102118,18,21,False,4,7,0,2,4,3,case_score18_seed9102118.json
9102515,18,21,False,4,0,0,0,2,4,case_score18_seed9102515.json
9102636,18,21,False,5,5,2,2,3,3,case_score18_seed9102636.json
9102713,18,21,False,4,0,3,0,3,3,case_score18_seed9102713.json
9103035,18,21,False,5,0,0,6,3,3,case_score18_seed9103035.json
9103428,18,21,False,4,1,2,0,2,4,case_score18_seed9103428.json
9103760,18,21,False,4,0,1,0,3,3,case_score18_seed9103760.json
9104113,18,21,False,5,0,0,1,1,4,case_score18_seed9104113.json
9104701,18,21,False,4,0,1,0,2,4,case_score18_seed9104701.json
9104924,18,21,False,4,1,1,0,2,3,case_score18_seed9104924.json
9105009,18,21,False,4,0,0,2,3,3,case_score18_seed9105009.json
9106424,18,21,False,5,4,0,0,4,2,case_score18_seed9106424.json
9106891,18,21,False,4,3,0,0,3,3,case_score18_seed9106891.json
9107333,18,21,False,5,9,0,1,2,3,case_score18_seed9107333.json
9107420,18,21,False,4,5,8,4,2,4,case_score18_seed9107420.json
9108125,18,21,False,4,2,0,0,3,3,case_score18_seed9108125.json
9108600,18,21,False,4,5,2,0,3,3,case_score18_seed9108600.json
9109204,18,21,False,5,4,0,0,2,4,case_score18_seed9109204.json
9109391,18,21,False,4,7,2,1,3,3,case_score18_seed9109391.json
9109426,18,21,False,4,1,0,0,3,3,case_score18_seed9109426.json
9109442,18,21,False,4,4,2,0,3,3,case_score18_seed9109442.json
9100560,17,21,False,3,0,0,1,3,4,case_score17_seed9100560.json
9101047,17,21,False,4,9,0,0,3,3,case_score17_seed9101047.json
9101907,17,20,False,3,1,1,3,4,3,case_score17_seed9101907.json
9102447,17,21,False,4,0,1,1,3,3,case_score17_seed9102447.json
9103526,17,21,False,5,3,0,0,3,3,case_score17_seed9103526.json
9103911,17,21,False,4,5,0,0,3,3,case_score17_seed9103911.json
9104403,17,21,False,4,1,1,0,3,3,case_score17_seed9104403.json
9105603,17,21,False,4,4,2,0,3,3,case_score17_seed9105603.json
9106975,17,21,False,4,0,0,0,3,3,case_score17_seed9106975.json
9100017,16,21,False,4,1,2,2,2,3,case_score16_seed9100017.json
9100032,16,21,False,4,4,0,4,2,3,case_score16_seed9100032.json
9100050,16,21,False,4,1,0,0,1,3,case_score16_seed9100050.json
9100051,16,21,False,4,0,0,1,3,3,case_score16_seed9100051.json
9100063,16,21,False,4,0,2,0,3,3,case_score16_seed9100063.json
9100064,16,21,False,4,0,0,2,2,3,case_score16_seed9100064.json
9100081,16,21,False,4,2,2,0,3,3,case_score16_seed9100081.json
9100086,16,21,False,4,2,3,2,3,3,case_score16_seed9100086.json
9100101,16,21,False,4,2,1,0,3,2,case_score16_seed9100101.json
9100126,16,21,False,5,2,2,0,2,3,case_score16_seed9100126.json
9100160,16,21,False,4,2,2,0,2,3,case_score16_seed9100160.json
9100172,16,21,False,4,1,2,0,2,3,case_score16_seed9100172.json
9100186,16,21,False,5,0,1,6,3,2,case_score16_seed9100186.json
9100222,16,21,False,4,1,2,3,3,3,case_score16_seed9100222.json
9100275,16,21,False,5,2,1,3,3,2,case_score16_seed9100275.json
9100299,16,21,False,4,7,0,1,4,2,case_score16_seed9100299.json
9100307,16,21,False,4,1,0,1,4,2,case_score16_seed9100307.json
9100351,16,21,False,4,4,0,3,1,4,case_score16_seed9100351.json
9100467,16,21,False,4,0,0,3,2,3,case_score16_seed9100467.json
9100488,16,21,False,4,8,2,2,2,3,case_score16_seed9100488.json
9100513,16,21,False,4,0,1,0,3,2,case_score16_seed9100513.json
9100514,16,21,False,4,2,3,1,1,4,case_score16_seed9100514.json
9100552,16,21,False,4,6,3,5,2,3,case_score16_seed9100552.json
9100563,16,21,False,5,2,0,1,3,2,case_score16_seed9100563.json
9100579,16,21,False,3,2,1,0,2,4,case_score16_seed9100579.json
9100583,16,21,False,4,0,0,1,1,4,case_score16_seed9100583.json
9100598,16,21,False,5,1,3,7,3,2,case_score16_seed9100598.json
9100628,16,21,False,3,6,2,0,3,3,case_score16_seed9100628.json
9100664,16,21,False,4,3,5,1,3,3,case_score16_seed9100664.json
9100673,16,21,False,3,5,1,1,3,3,case_score16_seed9100673.json
9100702,16,21,False,5,0,1,1,2,3,case_score16_seed9100702.json
9100724,16,21,False,5,4,3,1,2,3,case_score16_seed9100724.json
9100741,16,21,False,4,0,0,3,2,3,case_score16_seed9100741.json
9100742,16,21,False,4,1,0,0,2,3,case_score16_seed9100742.json
9100744,16,21,False,4,0,0,0,3,3,case_score16_seed9100744.json
9100745,16,21,False,4,0,0,4,3,3,case_score16_seed9100745.json
9100749,16,21,False,3,4,1,2,3,3,case_score16_seed9100749.json
9100786,16,21,False,4,0,3,1,1,4,case_score16_seed9100786.json
9100787,16,21,False,4,6,2,2,1,4,case_score16_seed9100787.json
9100801,16,21,False,4,2,0,2,2,3,case_score16_seed9100801.json
9100810,16,21,False,4,2,0,0,2,3,case_score16_seed9100810.json
9100851,16,21,False,3,0,0,6,2,4,case_score16_seed9100851.json
9100864,16,21,False,5,0,1,1,1,3,case_score16_seed9100864.json
9100902,16,21,False,3,2,1,0,2,4,case_score16_seed9100902.json
9100924,16,21,False,3,1,2,3,3,3,case_score16_seed9100924.json
9101002,16,21,False,4,1,2,2,2,3,case_score16_seed9101002.json
9101014,16,21,False,4,1,4,0,1,3,case_score16_seed9101014.json
9101044,16,20,False,4,1,2,0,3,3,case_score16_seed9101044.json
9101055,16,21,False,3,0,0,0,3,3,case_score16_seed9101055.json
9101064,16,21,False,5,1,1,2,2,3,case_score16_seed9101064.json
9101083,16,21,False,5,1,2,2,2,3,case_score16_seed9101083.json
9101088,16,21,False,4,2,0,1,3,2,case_score16_seed9101088.json
9101093,16,21,False,4,2,2,2,2,3,case_score16_seed9101093.json
9101124,16,21,False,3,1,1,2,2,4,case_score16_seed9101124.json
9101130,16,21,False,4,2,2,1,2,3,case_score16_seed9101130.json
9101148,16,21,False,4,0,3,1,2,4,case_score16_seed9101148.json
9101173,16,21,False,4,0,1,0,3,3,case_score16_seed9101173.json
9101220,16,21,False,4,5,4,1,2,3,case_score16_seed9101220.json
9101250,16,21,False,4,0,2,0,3,3,case_score16_seed9101250.json
9101261,16,21,False,5,0,1,2,1,3,case_score16_seed9101261.json
9101306,16,21,False,4,0,1,0,2,3,case_score16_seed9101306.json
9101314,16,21,False,5,1,2,3,1,3,case_score16_seed9101314.json
9101330,16,21,False,4,1,3,0,3,3,case_score16_seed9101330.json
9101339,16,21,False,3,0,0,2,3,3,case_score16_seed9101339.json
9101348,16,21,False,5,0,1,0,1,3,case_score16_seed9101348.json
9101351,16,21,False,6,4,0,2,1,3,case_score16_seed9101351.json
9101368,16,21,False,5,2,2,2,3,2,case_score16_seed9101368.json
9101376,16,21,False,4,1,0,2,3,2,case_score16_seed9101376.json
9101408,16,21,False,4,1,2,0,3,3,case_score16_seed9101408.json
9101447,16,21,False,4,1,1,2,2,3,case_score16_seed9101447.json
9101481,16,21,False,4,3,3,0,3,3,case_score16_seed9101481.json
9101482,16,21,False,5,4,5,1,1,3,case_score16_seed9101482.json
9101494,16,21,False,5,0,1,2,1,3,case_score16_seed9101494.json
9101528,16,21,False,4,0,1,5,1,3,case_score16_seed9101528.json
9101543,16,21,False,3,3,2,0,3,3,case_score16_seed9101543.json
9101548,16,21,False,4,3,3,2,3,3,case_score16_seed9101548.json
9101570,16,21,False,4,0,2,0,3,3,case_score16_seed9101570.json
9101590,16,21,False,4,0,1,0,2,3,case_score16_seed9101590.json
9101599,16,21,False,4,2,2,0,2,3,case_score16_seed9101599.json
9101608,16,21,False,5,0,0,1,2,3,case_score16_seed9101608.json
9101625,16,21,False,4,2,0,1,4,2,case_score16_seed9101625.json
9101663,16,21,False,3,1,1,1,3,3,case_score16_seed9101663.json
9101679,16,21,False,4,1,2,0,2,3,case_score16_seed9101679.json
9101759,16,21,False,4,4,0,0,3,2,case_score16_seed9101759.json
9101788,16,21,False,4,0,1,1,2,3,case_score16_seed9101788.json
9101799,16,21,False,4,2,3,0,1,4,case_score16_seed9101799.json
9101822,16,21,False,4,3,1,1,1,4,case_score16_seed9101822.json
9101855,16,21,False,4,8,2,0,2,3,case_score16_seed9101855.json
9101867,16,21,False,4,0,4,1,2,3,case_score16_seed9101867.json
9101871,16,21,False,4,1,2,0,2,3,case_score16_seed9101871.json
9101887,16,21,False,4,3,1,1,3,3,case_score16_seed9101887.json
9101897,16,21,False,5,0,1,0,3,2,case_score16_seed9101897.json
9101918,16,21,False,4,2,0,7,2,3,case_score16_seed9101918.json
9101950,16,21,False,3,0,0,0,2,4,case_score16_seed9101950.json
9101952,16,21,False,4,2,3,0,1,3,case_score16_seed9101952.json
9101955,16,21,False,4,8,0,3,2,3,case_score16_seed9101955.json
9101965,16,21,False,4,0,3,0,2,3,case_score16_seed9101965.json
9101974,16,21,False,5,1,0,0,3,2,case_score16_seed9101974.json
9102007,16,21,False,4,3,2,2,3,3,case_score16_seed9102007.json
9102085,16,21,False,4,2,0,1,3,2,case_score16_seed9102085.json
9102135,16,21,False,4,0,2,0,3,3,case_score16_seed9102135.json
9102142,16,21,False,3,2,1,0,3,3,case_score16_seed9102142.json
9102150,16,21,False,5,3,0,2,3,2,case_score16_seed9102150.json
9102166,16,21,False,5,6,0,1,3,2,case_score16_seed9102166.json
9102174,16,21,False,4,1,1,2,2,3,case_score16_seed9102174.json
9102197,16,21,False,6,0,1,1,3,2,case_score16_seed9102197.json
9102220,16,21,False,4,1,5,1,2,3,case_score16_seed9102220.json
9102222,16,21,False,4,8,1,0,2,3,case_score16_seed9102222.json
9102307,16,21,False,4,0,0,2,3,3,case_score16_seed9102307.json
9102342,16,21,False,4,7,1,0,2,3,case_score16_seed9102342.json
9102375,16,21,False,4,4,3,1,2,3,case_score16_seed9102375.json
9102380,16,21,False,5,0,0,0,3,3,case_score16_seed9102380.json
9102383,16,21,False,5,2,0,1,2,2,case_score16_seed9102383.json
9102393,16,21,False,4,0,4,0,3,3,case_score16_seed9102393.json
9102405,16,21,False,5,0,1,2,1,3,case_score16_seed9102405.json
9102409,16,21,False,5,2,0,1,3,2,case_score16_seed9102409.json
9102419,16,21,False,4,1,3,1,1,4,case_score16_seed9102419.json
9102424,16,21,False,4,4,1,1,4,2,case_score16_seed9102424.json
9102426,16,21,False,4,4,2,1,2,3,case_score16_seed9102426.json
9102430,16,21,False,6,4,1,6,3,2,case_score16_seed9102430.json
9102458,16,21,False,5,0,0,0,3,2,case_score16_seed9102458.json
9102490,16,21,False,5,1,1,2,3,2,case_score16_seed9102490.json
9102517,16,21,False,4,0,0,3,1,4,case_score16_seed9102517.json
9102528,16,21,False,4,0,0,0,3,3,case_score16_seed9102528.json
9102547,16,21,False,5,0,0,0,1,3,case_score16_seed9102547.json
9102575,16,21,False,4,0,1,2,2,3,case_score16_seed9102575.json
9102594,16,21,False,3,0,0,1,3,3,case_score16_seed9102594.json
9102610,16,21,False,4,3,3,1,2,3,case_score16_seed9102610.json
9102611,16,21,False,3,0,0,1,3,3,case_score16_seed9102611.json
9102630,16,21,False,4,0,3,4,3,3,case_score16_seed9102630.json
9102679,16,21,False,5,5,1,3,3,3,case_score16_seed9102679.json
9102688,16,21,False,4,3,2,3,3,3,case_score16_seed9102688.json
9102792,16,21,False,5,1,2,0,2,3,case_score16_seed9102792.json
9102800,16,21,False,4,0,0,0,2,3,case_score16_seed9102800.json
9102853,16,21,False,4,2,0,2,2,3,case_score16_seed9102853.json
9102862,16,21,False,4,0,3,7,2,3,case_score16_seed9102862.json
9102886,16,21,False,4,6,0,1,2,3,case_score16_seed9102886.json
9102895,16,21,False,5,3,1,1,3,2,case_score16_seed9102895.json
9102938,16,21,False,3,0,0,0,3,3,case_score16_seed9102938.json
9102948,16,21,False,4,5,0,3,2,3,case_score16_seed9102948.json
9102956,16,21,False,4,2,3,1,2,3,case_score16_seed9102956.json
9102957,16,21,False,3,0,1,0,3,3,case_score16_seed9102957.json
9102961,16,21,False,5,1,1,6,2,3,case_score16_seed9102961.json
9102991,16,21,False,5,1,1,0,1,3,case_score16_seed9102991.json
9103012,16,21,False,5,3,1,2,2,3,case_score16_seed9103012.json
9103047,16,21,False,5,0,1,2,3,2,case_score16_seed9103047.json
9103051,16,21,False,4,2,0,2,4,2,case_score16_seed9103051.json
9103081,16,21,False,4,2,1,4,2,3,case_score16_seed9103081.json
9103115,16,21,False,4,0,1,0,2,3,case_score16_seed9103115.json
9103144,16,21,False,4,2,0,2,3,3,case_score16_seed9103144.json
9103194,16,21,False,4,0,0,0,2,3,case_score16_seed9103194.json
9103220,16,21,False,6,0,0,0,2,2,case_score16_seed9103220.json
9103281,16,21,False,3,0,0,0,4,3,case_score16_seed9103281.json
9103285,16,21,False,5,1,0,0,2,3,case_score16_seed9103285.json
9103293,16,21,False,5,0,0,5,2,3,case_score16_seed9103293.json
9103314,16,21,False,5,2,3,1,1,3,case_score16_seed9103314.json
9103332,16,21,False,5,2,0,2,2,3,case_score16_seed9103332.json
9103396,16,21,False,5,2,0,1,1,3,case_score16_seed9103396.json
9103401,16,21,False,3,1,2,0,3,3,case_score16_seed9103401.json
9103424,16,21,False,4,2,0,1,3,3,case_score16_seed9103424.json
9103426,16,21,False,4,1,1,0,1,4,case_score16_seed9103426.json
9103427,16,21,False,4,5,2,0,2,3,case_score16_seed9103427.json
9103438,16,21,False,4,5,1,2,2,3,case_score16_seed9103438.json
9103444,16,21,False,4,4,4,2,3,3,case_score16_seed9103444.json
