seed,max_score,perfect_path
62210659,20,T_TopR_C02|T_TopR_C09|B_Buil_C14|B_Buil_C04|T_TopR_C01|T_TopR_C16|B_Buil_C05|B_Buil_C03|T_TopR_C09|B_Buil_C20|T_TopR_C18|B_Buil_C15|B_Buil_C10|T_TopR_C05|B_Conq_C07|B_Buil_C11|B_Buil_C21|T_TopR_C04|B_Buil_C01|T_TopR_C17|B_Conq_C06
44190172,20,T_TopR_C16|T_TopR_C20|T_TopR_C07|B_Buil_C03|B_Buil_C05|T_TopR_C01|B_Buil_C04|T_TopR_C17|B_Buil_C21|B_Conq_C07|B_Buil_C15|T_TopR_C05|T_TopR_C01|B_Buil_C14|B_Buil_C11|B_Buil_C21|B_Buil_C10|T_TopR_C03|B_Conq_C06|B_Buil_C01|T_TopR_C09
71842677,19,B_Conq_C07|T_TopR_C01|B_Buil_C04|T_TopR_C02|B_Buil_C03|B_Buil_C14|T_TopR_C10|B_Buil_C20|T_TopR_C01|B_Buil_C05|T_TopR_C02|B_Buil_C19|B_Buil_C14|T_TopR_C10|B_Buil_C20|B_Buil_C16|B_Conq_C06|B_Buil_C18|T_TopR_C12|B_Buil_C17|T_TopR_C10
69890083,19,B_Conq_C07|T_TopR_C16|T_TopR_C17|T_TopR_C13|B_Buil_C04|B_Buil_C05|T_TopR_C09|B_Conq_C07|B_Buil_C10|B_Buil_C03|T_TopR_C18|T_TopR_C01|B_Buil_C11|B_Buil_C20|B_Buil_C21|T_TopR_C10|B_Buil_C14|B_Buil_C15|B_Conq_C06|T_TopR_C05|T_TopR_C12
71786778,20,T_TopR_C08|T_TopR_C17|B_Buil_C03|T_TopR_C06|B_Buil_C05|T_TopR_C02|B_Buil_C04|T_TopR_C14|B_Buil_C19|B_Buil_C18|B_Conq_C06|B_Buil_C15|B_Conq_C07|B_Buil_C21|B_Buil_C14|T_TopR_C17|B_Buil_C20|B_Conq_C06|T_TopR_C05|B_Conq_C07|T_TopR_C12
63730971,20,T_TopR_C05|B_Buil_C10|B_Buil_C03|T_TopR_C07|T_TopR_C06|B_Buil_C04|T_TopR_C14|B_Buil_C05|T_TopR_C02|T_TopR_C09|B_Buil_C15|B_Buil_C11|B_Buil_C20|B_Buil_C14|T_TopR_C01|B_Buil_C02|T_TopR_C09|B_Conq_C07|B_Conq_C06|B_Buil_C20|T_TopR_C14
97907919,20,B_Conq_C06|B_Buil_C05|T_TopR_C03|B_Buil_C21|T_TopR_C01|B_Buil_C14|T_TopR_C10|T_TopR_C06|T_TopR_C05|B_Buil_C03|B_Buil_C04|T_TopR_C01|B_Buil_C14|B_Buil_C10|B_Buil_C11|T_TopR_C05|B_Conq_C07|B_Buil_C21|B_Buil_C01|T_TopR_C09|T_TopR_C10
49189556,20,T_TopR_C08|T_TopR_C16|B_Buil_C05|B_Buil_C04|B_Conq_C07|T_TopR_C02|B_Buil_C15|B_Buil_C14|B_Buil_C16|T_TopR_C05|B_Buil_C03|B_Buil_C17|T_TopR_C02|B_Buil_C18|T_TopR_C01|B_Buil_C19|T_TopR_C05|B_Buil_C20|B_Conq_C07|B_Buil_C21|T_TopR_C09
17538131,21,T_TopR_C01|T_TopR_C21|B_Buil_C04|B_Conq_C07|B_Buil_C15|T_TopR_C02|B_Buil_C05|B_Conq_C06|B_Buil_C11|T_TopR_C09|B_Buil_C03|B_Buil_C15|T_TopR_C02|T_TopR_C05|B_Buil_C10|B_Buil_C21|B_Buil_C20|B_Conq_C07|B_Trib_C08|B_Buil_C02|T_TopR_C05
50172785,18,B_Conq_C06|T_TopR_C16|B_Trib_C09|B_Buil_C11|T_TopR_C01|B_Buil_C03|B_Buil_C04|T_TopR_C02|T_TopR_C12|T_TopR_C18|B_Buil_C15|B_Buil_C14|T_TopR_C03|B_Buil_C10|B_Buil_C05|B_Buil_C21|T_TopR_C09|T_TopR_C17|B_Buil_C20|T_TopR_C08|B_Conq_C07
78742272,21,T_TopR_C16|B_Buil_C04|B_Conq_C07|T_TopR_C12|B_Buil_C03|B_Buil_C15|T_TopR_C02|B_Buil_C05|T_TopR_C17|B_Buil_C20|B_Conq_C06|T_TopR_C01|B_Buil_C15|T_TopR_C02|B_Buil_C16|B_Buil_C17|B_Buil_C20|B_Conq_C06|B_Buil_C01|T_TopR_C21|T_TopR_C02
36463444,19,B_Conq_C07|T_TopR_C21|B_Buil_C05|T_TopR_C16|T_TopR_C01|B_Buil_C17|B_Buil_C04|B_Conq_C07|B_Buil_C21|T_TopR_C02|B_Buil_C16|T_TopR_C01|B_Buil_C15|B_Buil_C03|B_Buil_C14|B_Buil_C21|T_TopR_C02|T_TopR_C13|B_Buil_C01|T_TopR_C17|T_TopR_C04
