策略,是否失败,总分,回合数,seed,达到12+,达到14+
mcts_distilled_final,False,12,21,1200000,1,0
mcts_distilled_final,False,12,21,1200001,1,0
mcts_distilled_final,False,10,21,1200002,0,0
mcts_distilled_final,False,16,21,1200003,1,1
mcts_distilled_final,False,16,21,1200004,1,1
mcts_distilled_final,False,16,21,1200005,1,1
mcts_distilled_final,False,10,21,1200006,0,0
mcts_distilled_final,False,12,21,1200007,1,0
mcts_distilled_final,False,10,21,1200008,0,0
mcts_distilled_final,False,10,21,1200009,0,0
mcts_distilled_final,False,16,21,1200010,1,1
mcts_distilled_final,False,10,21,1200011,0,0
mcts_distilled_final,False,12,21,1200012,1,0
mcts_distilled_final,False,16,21,1200013,1,1
mcts_distilled_final,False,16,21,1200014,1,1
mcts_distilled_final,False,12,21,1200015,1,0
mcts_distilled_final,False,16,21,1200016,1,1
mcts_distilled_final,False,12,21,1200017,1,0
mcts_distilled_final,False,10,21,1200018,0,0
mcts_distilled_final,False,12,21,1200019,1,0
mcts_distilled_final,False,14,21,1200020,1,1
mcts_distilled_final,False,16,21,1200021,1,1
mcts_distilled_final,False,10,21,1200022,0,0
mcts_distilled_final,False,12,21,1200023,1,0
mcts_distilled_final,False,12,21,1200024,1,0
mcts_distilled_final,False,10,21,1200025,0,0
mcts_distilled_final,False,10,21,1200026,0,0
mcts_distilled_final,False,12,21,1200027,1,0
mcts_distilled_final,False,12,21,1200028,1,0
mcts_distilled_final,False,12,21,1200029,1,0
mcts_distilled_final,False,10,21,1200030,0,0
mcts_distilled_final,False,8,21,1200031,0,0
mcts_distilled_final,False,12,21,1200032,1,0
mcts_distilled_final,False,14,21,1200033,1,1
mcts_distilled_final,False,12,21,1200034,1,0
mcts_distilled_final,False,12,21,1200035,1,0
mcts_distilled_final,False,16,21,1200036,1,1
mcts_distilled_final,False,12,21,1200037,1,0
mcts_distilled_final,False,12,21,1200038,1,0
mcts_distilled_final,False,12,21,1200039,1,0
mcts_distilled_final,False,8,21,1200040,0,0
mcts_distilled_final,False,12,21,1200041,1,0
mcts_distilled_final,False,10,21,1200042,0,0
mcts_distilled_final,False,14,21,1200043,1,1
mcts_distilled_final,False,12,21,1200044,1,0
mcts_distilled_final,False,14,21,1200045,1,1
mcts_distilled_final,False,14,21,1200046,1,1
mcts_distilled_final,False,8,21,1200047,0,0
mcts_distilled_final,False,12,21,1200048,1,0
mcts_distilled_final,False,10,21,1200049,0,0
mcts_distilled_final,False,14,21,1200050,1,1
mcts_distilled_final,False,8,21,1200051,0,0
mcts_distilled_final,False,14,21,1200052,1,1
mcts_distilled_final,False,12,21,1200053,1,0
mcts_distilled_final,False,12,21,1200054,1,0
mcts_distilled_final,False,14,21,1200055,1,1
