策略,是否失败,总分,回合数,seed,达到12+,达到14+
neural_ai,True,0,14,1200000,0,0
neural_ai,True,0,7,1200001,0,0
neural_ai,True,0,7,1200002,0,0
neural_ai,True,0,14,1200003,0,0
neural_ai,True,0,7,1200004,0,0
neural_ai,False,8,21,1200005,0,0
neural_ai,True,0,14,1200006,0,0
neural_ai,False,9,21,1200007,0,0
neural_ai,False,4,21,1200008,0,0
neural_ai,True,0,7,1200009,0,0
neural_ai,True,0,7,1200010,0,0
neural_ai,True,0,21,1200011,0,0
neural_ai,True,0,14,1200012,0,0
neural_ai,True,0,7,1200013,0,0
neural_ai,True,0,7,1200014,0,0
neural_ai,True,0,14,1200015,0,0
neural_ai,True,0,14,1200016,0,0
neural_ai,True,0,14,1200017,0,0
neural_ai,True,0,7,1200018,0,0
neural_ai,True,0,7,1200019,0,0
neural_ai,True,0,7,1200020,0,0
neural_ai,True,0,7,1200021,0,0
neural_ai,True,0,14,1200022,0,0
neural_ai,True,0,14,1200023,0,0
neural_ai,True,0,7,1200024,0,0
neural_ai,True,0,14,1200025,0,0
neural_ai,True,0,7,1200026,0,0
neural_ai,True,0,7,1200027,0,0
neural_ai,True,0,7,1200028,0,0
neural_ai,True,0,7,1200029,0,0
neural_ai,True,0,7,1200030,0,0
neural_ai,False,6,21,1200031,0,0
neural_ai,True,0,7,1200032,0,0
neural_ai,True,0,7,1200033,0,0
neural_ai,False,7,21,1200034,0,0
neural_ai,True,0,7,1200035,0,0
neural_ai,True,0,7,1200036,0,0
neural_ai,False,6,21,1200037,0,0
neural_ai,True,0,7,1200038,0,0
neural_ai,True,0,7,1200039,0,0
neural_ai,True,0,7,1200040,0,0
neural_ai,True,0,7,1200041,0,0
neural_ai,True,0,14,1200042,0,0
neural_ai,True,0,7,1200043,0,0
neural_ai,True,0,7,1200044,0,0
neural_ai,True,0,14,1200045,0,0
neural_ai,True,0,14,1200046,0,0
neural_ai,True,0,7,1200047,0,0
neural_ai,False,9,21,1200048,0,0
neural_ai,False,9,21,1200049,0,0
neural_ai,True,0,14,1200050,0,0
neural_ai,False,7,21,1200051,0,0
neural_ai,True,0,14,1200052,0,0
